Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -3436950, -983338, -50960932, 641226, -329797, -62426,12903, 
0x00000000, -3502141, -1276923, -50890024, 639451, -327241, -55875,13054, 
0x00000000, -3491315, -1632913, -50845176, 638354, -325145, -45202,13208, 
0x00000000, -3511401, -1795615, -50827000, 638233, -323767, -41513,13364, 
0x00000000, -3640602, -1989443, -50967636, 642649, -326561, -39415,13518, 
0x00000000, -3870055, -2082794, -51136832, 648204, -331181, -43815,13671, 
0x00000000, -4043377, -2104987, -51254912, 651171, -333725, -48668,13828, 
0x00000000, -4255717, -1792591, -51399780, 656413, -337831, -62665,13981, 
0x00000000, -4561772, -1577628, -51655100, 664451, -344755, -78175,14133, 
0x00000000, -4880151, -1320396, -51978328, 674036, -352762, -95159,14287, 
0x00000000, -5261874, -954184, -52361864, 686152, -362988, -116478,14440, 
0x00000000, -5552754, -767081, -52691992, 696137, -372086, -130120,14592, 
0x00000000, -5798698, -394758, -52961128, 704913, -378964, -148033,14747, 
0x00000000, -6159481, -78889, -53235512, 713168, -386579, -167696,14906, 
0x00000000, -6469269, 199398, -53386188, 717869, -390514, -184852,15059, 
0x00000000, -6576123, 447629, -53295680, 715448, -387802, -194454,15217, 
0x00000000, -6571986, 619059, -53088504, 708885, -382103, -199478,15379, 
0x00000000, -6460996, 866369, -52787028, 700036, -374221, -203134,15533, 
0x00000000, -6376851, 993551, -52531776, 692334, -366843, -203572,15685, 
0x00000000, -6328262, 1131233, -52232368, 683001, -359043, -206452,15836, 
0x00000000, -6234358, 1327866, -51856004, 671933, -348518, -208790,15992, 
0x00000000, -6139741, 1391317, -51558088, 662701, -340592, -208529,16143, 
0x00000000, -6155027, 1401898, -51293624, 654538, -333243, -208952,16296, 
0x00000000, -6194644, 1364022, -50998680, 645452, -325110, -209559,16451, 
0x00000000, -6274721, 1239194, -50711376, 637169, -317564, -208788,16603, 
0x00000000, -6358556, 1118363, -50499672, 629931, -311048, -208044,16757, 
0x00000000, -6510976, 920750, -50229616, 621503, -303773, -207783,16912, 
0x00000000, -6648257, 735992, -49957856, 613323, -296082, -206637,17065, 
0x00000000, -6761778, 539336, -49731536, 606151, -289628, -205034,17217, 
0x00000000, -6872707, 423316, -49483988, 598571, -282642, -204851,17369, 
0x00000000, -7004511, 270602, -49210912, 589887, -275339, -205293,17525, 
0x00000000, -7139938, 88244, -48945056, 581987, -267882, -204661,17677, 
0x00000000, -7251808, -42583, -48709240, 574441, -261207, -204772,17834, 
0x00000000, -7418738, -194154, -48421144, 565614, -253138, -205704,17986, 
0x00000000, -7702133, -519124, -47774624, 545574, -235299, -206512,18406, 
0x00000000, -7883928, -678100, -47461704, 535415, -226285, -207657,18568, 
0x00000000, -8010540, -833001, -47156416, 526269, -217826, -207344,18731, 
0x00000000, -8008613, -731965, -46858960, 517374, -209563, -210048,18901, 
0x00000000, -8042073, -700838, -46482680, 505428, -198991, -212600,19061, 
0x00000000, -8169583, -838019, -46183800, 496419, -190923, -213029,19219, 
0x00000000, -8332316, -940698, -45881760, 487139, -182571, -215151,19380, 
0x00000000, -8581369, -1170296, -45512376, 475876, -172503, -216893,19541, 
0x00000000, -8737561, -1295106, -45203328, 466102, -163476, -218196,19702, 
0x00000000, -8977166, -1456086, -44848976, 455061, -153557, -221419,19861, 
