Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -13317336, -7643345, -27074752, 83054, 175163, -215965,0, 
0x00000000, -13311451, -7638722, -27074152, 83233, 174970, -215917,150, 
0x00000000, -13317201, -7643534, -27085024, 83165, 175168, -215826,303, 
0x00000000, -13309827, -7642483, -27080656, 83258, 175020, -215873,456, 
0x00000000, -13314831, -7642592, -27080784, 83229, 175288, -215778,610, 
0x00000000, -13314948, -7644974, -27080408, 83081, 175187, -215961,763, 
0x00000000, -13315501, -7641037, -27082310, 82994, 175099, -215609,922, 
0x00000000, -13320535, -7639356, -27083832, 83189, 175536, -215900,1074, 
0x00000000, -13318330, -7642288, -27081580, 83284, 175372, -216061,1228, 
0x00000000, -13312871, -7650047, -27077636, 83138, 175289, -216087,1381, 
0x00000000, -13312609, -7644264, -27078068, 82966, 175285, -215843,1533, 
0x00000000, -13310442, -7646853, -27070812, 83420, 175135, -215911,1686, 
0x00000000, -13309175, -7639327, -27074944, 83276, 175209, -216080,1842, 
0x00000000, -13312847, -7647802, -27072390, 83012, 175376, -215812,2001, 
0x00000000, -13316969, -7649505, -27084980, 82906, 175502, -215770,2154, 
0x00000000, -13309853, -7643625, -27084364, 83022, 175275, -216001,2307, 
0x00000000, -13321957, -7640251, -27069152, 82973, 175461, -215849,2465, 
0x00000000, -13317376, -7648074, -27070344, 83090, 175551, -215954,2618, 
0x00000000, -13312798, -7650540, -27066814, 83084, 175583, -215971,2773, 
0x00000000, -13308049, -7649845, -27066636, 83002, 175609, -215745,2927, 
0x00000000, -13310913, -7638335, -27072432, 83227, 175561, -215957,3080, 
0x00000000, -13319505, -7642185, -27061372, 83032, 175813, -215950,3233, 
0x00000000, -13314410, -7647241, -27060262, 83003, 175776, -215848,3387, 
0x00000000, -13297610, -7650178, -27063752, 83051, 175817, -216225,3544, 
0x00000000, -13996062, -7659573, -28171932, 65212, 217981, -205052,3697, 
0x00000000, -14552839, -7654165, -29120250, 50096, 253056, -195176,3848, 
0x00000000, -14869508, -7638511, -29962430, 36199, 285192, -188342,4001, 
0x00000000, -15356358, -7605567, -30873466, 21640, 319646, -179269,4154, 
0x00000000, -15898753, -7581043, -31755396, 7021, 353152, -168404,4311, 
0x00000000, -16136956, -7456372, -32570800, -5741, 384111, -159438,4468, 
0x00000000, -16178816, -7315366, -33567604, -21925, 421463, -152916,4618, 
0x00000000, -15789790, -7183226, -33528188, -21568, 419798, -153954,4771, 
0x00000000, -15930299, -7233230, -33505660, -20685, 419088, -154161,4925, 
0x00000000, -15917356, -7245561, -33490156, -20948, 418832, -154594,5081, 
0x00000000, -15931434, -7238623, -33503700, -20757, 418806, -154293,5234, 
0x00000000, -15905934, -7226904, -33485888, -20509, 418546, -154448,5386, 
0x00000000, -15925754, -7236781, -33474230, -20418, 418352, -154243,5541, 
0x00000000, -15906935, -7247096, -33478152, -20737, 418284, -154504,5692, 
0x00000000, -15903194, -7232396, -33475528, -20715, 418222, -154570,5935, 
0x00000000, -15897234, -7231482, -33466948, -20399, 417878, -154501,6088, 
0x00000000, -15901775, -7239849, -33467200, -20120, 417765, -154644,6241, 
0x00000000, -15894285, -7229222, -33452232, -20367, 417605, -155002,6395, 
0x00000000, -15885608, -7235019, -33444400, -20507, 417391, -154550,6547, 
0x00000000, -15899109, -7237237, -33454128, -20121, 417384, -154730,6697, 
0x00000000, -15879152, -7230481, -33459812, -20357, 417349, -154854,6851, 
0x00000000, -15900066, -7234210, -33451724, -20373, 417272, -154889,7002, 
0x00000000, -15882040, -7234101, -33441704, -20242, 417142, -154865,7155, 
0x00000000, -15879270, -7238600, -33442644, -20345, 417018, -155001,7306, 
0x00000000, -15890602, -7235293, -33437350, -20305, 416755, -154751,7458, 
0x00000000, -15875371, -7233553, -33433296, -20373, 416995, -154757,7612, 
0x00000000, -15888497, -7229806, -33437152, -20083, 416844, -154655,7765, 
0x00000000, -15880992, -7239552, -33433528, -20286, 416881, -154871,7917, 
0x00000000, -15874232, -7236451, -33426548, -20142, 416728, -154818,8069, 
0x00000000, -15885077, -7238234, -33426948, -20334, 416507, -154882,8223, 
0x00000000, -15870092, -7231658, -33433654, -20054, 416244, -154936,8376, 
0x00000000, -15882796, -7236586, -33422008, -19982, 416394, -154860,8528, 
0x00000000, -15871937, -7234141, -33418448, -20073, 416023, -155095,8683, 
0x00000000, -15873106, -7233199, -33422462, -20231, 416217, -154715,8835, 
0x00000000, -15882199, -7239867, -33422424, -20032, 416006, -155127,8988, 
0x00000000, -15868556, -7221830, -33418022, -20036, 415989, -155049,9146, 
0x00000000, -15875071, -7230240, -33419876, -20053, 415863, -154912,9300, 
0x00000000, -15864500, -7234199, -33412972, -20134, 415937, -155190,9455, 
0x00000000, -15880616, -7240537, -33406078, -20052, 415722, -155028,9609, 
0x00000000, -15854845, -7227461, -33427396, -20001, 415527, -155001,9763, 
0x00000000, -15873518, -7237868, -33422110, -20002, 415534, -154958,9916, 
0x00000000, -15866555, -7227097, -33412312, -19771, 415533, -155190,10070, 
