encoder,Fz,Fx,Fy,Tx,Ty,Tz,time,turn_count
0,0,0,0,0,0,0,0,0
0,1150,-3557,2016,-289,183,127,159,0
0,-12250,3890,6090,97,94,103,319,0
0,-1698,278,7116,8,175,-11,478,0
0,-1922,1407,2010,-131,142,103,635,0
0,3772,-4945,9064,-58,371,-103,796,0
0,-9918,-17,6539,-83,375,110,957,0
0,-22328,-3769,1151,-147,505,-3,1129,0
42,-7966,-2734,2995,-189,509,12,1286,0
482,-6220,-5714,10553,217,417,169,1448,0
1174,-17806,-471,5575,-125,491,223,1610,0
1758,-20002,-3417,8686,64,661,56,1768,0
2366,831734,-313339,-24965,-13706,33218,4737,1931,0
3001,2268282,-773749,76738,-36939,87102,17175,2089,0
3648,3607592,-1199307,100719,-58718,137822,25160,2246,0
4262,4919996,-1300790,281534,-80019,186513,34908,2403,0
4991,6033322,-1604201,310752,-98827,228631,41816,2569,0
5610,7112450,-1730933,526810,-117052,269465,52750,2723,0
6291,8201194,-2494446,465911,-135815,309749,64087,2879,0
6903,9131818,-2879485,438451,-152313,344671,70200,3036,0
7600,10215606,-3158852,445205,-170941,385553,75833,3197,-1
8155,11417918,-3739271,374293,-191235,430140,83807,3354,-1
8839,12636990,-4488125,91761,-212627,475259,86236,3512,-1
9477,13658898,-5028859,-84985,-229694,513863,89318,3672,-1
10116,14942970,-5392711,-134660,-251651,561707,94343,3831,-1
11138,16703182,-5884969,-382937,-281634,628448,94676,4078,-1
11837,17887454,-5928891,-457449,-301388,672496,93230,4247,-1
12464,18930582,-6060979,-554934,-319252,711753,92247,4407,-1
13101,19956382,-5786573,-754909,-336357,749760,80787,4562,-1
13748,20817902,-5693177,-1199729,-350833,781605,62602,4725,-1
14440,22002918,-4800121,-744959,-371198,826087,65546,4887,-1
15076,21882574,-4793463,-766260,-369082,821187,64273,5042,-1
15788,21846014,-4920299,-852839,-368466,819764,63802,5208,-1
15882,21773670,-5140887,-896691,-367187,817203,65262,5473,-1
15881,21738086,-5125587,-890874,-366778,815998,65251,5632,-1
15881,21716002,-5111203,-883215,-366634,815450,65230,5787,-1
15881,21697954,-5134769,-892773,-366147,814724,65537,5943,-1
15881,21673650,-5175587,-899556,-365842,814212,65674,6102,-1
15880,21658730,-5155339,-891172,-365636,813501,65649,6268,-1
15880,21647790,-5151919,-884608,-365442,812974,65628,6424,-1
15880,21630106,-5176451,-897898,-365348,812390,65707,6581,-1
15880,21623502,-5162667,-891773,-365057,811924,65731,6746,-1
15880,21626982,-5168011,-897096,-365150,811499,66013,6901,-1
15880,21612778,-5182409,-902255,-364833,811106,66153,7058,-1
15880,21602550,-5176071,-893245,-364815,810676,66152,7213,-1
15880,21580782,-5193493,-898244,-364737,810377,66242,7374,-1
15880,21584954,-5180061,-891170,-364538,809936,66408,7532,-1
15880,21577934,-5195699,-891273,-364272,809633,66310,7691,-1
15879,21570874,-5190179,-892579,-364371,809168,66296,7848,-1
15879,21570238,-5198269,-892832,-364178,809137,66497,8010,-1
15879,21557838,-5205461,-901940,-364310,808831,66511,8165,-1
15879,21559710,-5197449,-900574,-364105,808488,66519,8323,-1
15879,21560706,-5222909,-901455,-364294,808589,66403,8484,-1
15878,21614642,-5177211,-851772,-364873,810404,67689,8638,-1
15878,21611718,-5210011,-853340,-364812,810191,67986,8802,-1
15877,21603534,-5191863,-854392,-364863,809699,67831,8958,-1
15861,21594982,-5205001,-844158,-364675,809474,68034,9116,-1
15859,21591714,-5209219,-861706,-364741,809177,67740,9273,-1
15859,21580102,-5207427,-854008,-364582,808790,67816,9427,-1
15859,21589034,-5210189,-858320,-364631,808683,68206,9582,-1
15858,21577754,-5228997,-858965,-364408,808252,67947,9738,-1
15858,21567202,-5214631,-858302,-364235,808111,67942,9891,-1
15858,21572726,-5229043,-860307,-364084,808204,68028,10045,-1
15858,21565826,-5223079,-859461,-364047,807593,67803,10198,-1
15858,21563998,-5234067,-856559,-363772,807632,68274,10355,-1
15858,21543766,-5231951,-862471,-363711,807472,68039,10512,-1
15858,21558078,-5237399,-875208,-363928,807106,68112,10670,-1
15858,21550550,-5228363,-856006,-363683,807013,68183,10825,-1
15858,21541298,-5252495,-863812,-363721,806696,68124,10980,-1
15858,21539626,-5235443,-854644,-363470,806359,67916,11135,-1
15858,21537606,-5244031,-859724,-363255,806283,68045,11291,-1
15858,21534358,-5240409,-861173,-363338,806335,68086,11452,-1
15858,21540970,-5245547,-868675,-363524,805887,68116,11607,-1
15858,21526478,-5238063,-863607,-363367,805696,68112,11762,-1
15858,21519530,-5252167,-861418,-363305,805491,68004,11920,-1
15858,21528762,-5240479,-860008,-363346,805054,68157,12073,-1
15858,21513886,-5251939,-875059,-363362,805319,68145,12225,-1
15858,21544854,-4825229,-394004,-363522,805322,78914,12380,-1
15858,20247334,-4787097,-278220,-341785,757416,81789,12536,-1
15858,19067742,-5064331,-418152,-322333,713145,80812,12689,-1
15529,18053622,-5226949,-376832,-305220,675270,84300,12844,-1
14858,16867682,-4966841,-323706,-285383,631571,81429,13002,-1
14250,16129582,-5267459,-150692,-272869,603661,92259,13156,-1
13639,14977330,-5217297,-51225,-253548,560227,94908,13310,-1
12963,13799410,-3461959,123932,-234643,516772,70115,13467,-1
12355,12258326,-4367025,-218815,-208841,459764,72517,13619,-1
11744,11085686,-3168755,149078,-188616,414453,65494,13773,-1
11062,9836550,-2502416,232050,-168055,367881,57163,13926,-1
10452,8913490,-1577715,455249,-152237,333422,48438,14080,-1
9844,7702682,-635527,471887,-131659,287429,32674,14233,-1
9227,6755350,114136,453106,-115670,251889,18548,14387,-1
8545,5497790,257556,168113,-94268,205769,4389,14555,-1
7934,4209516,340123,-86815,-72396,157523,-7457,14708,-1
7318,3189970,272420,-101206,-54923,119415,-7512,14864,0
6571,2083230,175106,-221110,-36372,78504,-10440,15026,0
5960,1163976,9747,-321785,-20821,44242,-12490,15180,0
5348,503268,-51067,-136789,-9572,19431,-4725,15333,0
4736,15530,-608,24920,-1569,1093,252,15486,0
4122,4946,6172,25442,-1272,910,276,15641,0
3448,5626,1868,27651,-1287,829,375,15795,0
2841,5690,-3513,25816,-981,527,537,15951,0
2160,3898,5871,26082,-1033,724,245,16108,0
1552,-10502,-2252,21549,-1029,382,267,16264,0
943,-16270,782,18947,-1025,237,382,16418,0
259,5044,1421,18992,-1029,276,347,16577,0
227,-21830,892,19288,-1059,44,517,16732,0
227,-5578,-5054,22701,-804,169,568,16886,0
227,-14672,3828,28689,-744,263,28,17041,0
227,-7222,-1111,19611,-680,157,91,17197,0
227,-10726,-10951,15279,-822,43,375,17361,0
227,-2198,1969,21008,-740,159,226,17514,0
227,-10858,-884,16070,-643,147,444,17672,0
227,-17270,-2200,23864,-271,-4,259,17830,0
227,-23054,1153,21177,-520,-1,316,17986,0
226,-26966,-5808,17260,-707,-3,359,18146,0
226,-25534,1211,20581,-567,-3,543,18303,0
226,-18786,2971,19140,-483,190,203,18457,0
226,-28082,-9560,16228,-409,122,241,18611,0
226,-17198,2219,20426,-316,149,314,18765,0
226,-18258,4123,16489,-190,135,327,18919,0
226,-26438,-3005,14157,-385,222,188,19073,0
226,-33990,889,15786,-353,387,499,19230,0
226,-36566,-2744,16062,-268,442,455,19383,0
226,-24454,1781,13747,-388,390,93,19535,0
226,-27992,-1242,12091,-314,385,394,19689,0
226,-29216,3035,14892,-184,355,472,19846,0
226,-37378,-5006,15150,-275,505,410,20001,0
226,-28566,-721,17267,-262,516,113,20155,0
226,-27042,-2778,12812,-228,852,510,20310,0
226,-36654,-4653,20604,-34,559,333,20464,0
226,-41784,-2265,15846,-164,807,325,20618,0
226,-26118,-2962,18401,-172,724,286,20775,0
226,-35470,-6469,20507,-92,693,417,20930,0
226,-40588,-1895,20865,-210,1002,432,21082,0
226,-40562,-7639,17609,-63,964,240,21233,0
226,-33384,-4071,12822,151,913,140,21387,0
226,-38698,-4508,12152,-55,746,161,21542,0
226,-35386,-4644,15707,-118,1040,242,21696,0
