, -395792
6800, -5396
6820, -5413
6830, -5426
6850, -5444
6860, -5458
6870, -5472
6890, -5488
6900, -5503
6910, -5517
6930, -5532
6940, -5547
6950, -5564
6970, -5578
6980, -5592
6990, -5609
7010, -5622
7020, -5637
7030, -5655
7050, -5669
7060, -5682
7080, -5702
7090, -5715
7100, -5728
7120, -5747
7130, -5761
7140, -5774
7160, -5791
7170, -5806
7180, -5820
7200, -5834
7210, -5851
7220, -5866
7240, -5880
7250, -5895
7260, -5911
7280, -5924
7290, -5940
7310, -5961
7320, -5972
7330, -5985
7350, -6005
7360, -6016
7370, -6030
7390, -6049
7400, -6063
7410, -6076
7430, -6092
7440, -6108
7450, -6122
7470, -6137
7480, -6154
7490, -6169
7510, -6183
7520, -6200
7530, -6214
7550, -6227
7560, -6243
7580, -6263
7590, -6273
7600, -6288
7620, -6307
7630, -6319
7640, -6333
7660, -6352
7670, -6366
7680, -6379
7700, -6396
7710, -6411
7720, -6424
7740, -6440
7750, -6457
7760, -6470
7780, -6484
7790, -6502
7810, -6519
7820, -6530
7830, -6547
7850, -6565
7860, -6576
7870, -6592
7890, -6609
7900, -6621
7910, -6636
7930, -6655
7940, -6668
7950, -6681
7970, -6698
7980, -6714
7990, -6727
8010, -6744
8020, -6761
8040, -6777
8050, -6790
8060, -6808
8080, -6825
8090, -6839
8100, -6856
8120, -6871
8130, -6884
8140, -6902
8160, -6918
8170, -6930
8180, -6947
8200, -6963
8210, -6976
8220, -6992
8240, -7008
8250, -7021
8260, -7036
8280, -7054
8290, -7068
8310, -7083
8320, -7099
8330, -7115
8350, -7133
8360, -7149
8370, -7166
8390, -7180
8400, -7195
8410, -7211
8430, -7225
8440, -7240
8450, -7257
8470, -7270
8480, -7284
8490, -7302
8510, -7317
8520, -7330
8540, -7350
8550, -7363
8560, -7376
8580, -7395
8590, -7408
8600, -7421
8620, -7437
8630, -7454
8640, -7468
8660, -7481
8670, -7498
8680, -7514
8700, -7528
8710, -7544
8720, -7561
8740, -7575
8750, -7592
8770, -7612
8780, -7624
8790, -7640
8810, -7659
8820, -7670
8830, -7685
8850, -7704
8860, -7716
8870, -7730
8890, -7749
8900, -7763
8910, -7776
8930, -7793
8940, -7809
8950, -7823
8970, -7840
8980, -7859
9000, -7876
9010, -7888
9020, -7907
9040, -7924
9050, -7938
9060, -7958
9080, -7973
9090, -7988
9100, -8006
9120, -8021
9130, -8036
9140, -8054
9160, -8069
9170, -8084
9180, -8103
9200, -8119
9210, -8134
9220, -8153
9240, -8169
9250, -8185
9270, -8206
9280, -8217
9290, -8232
9310, -8254
9320, -8267
9330, -8281
9350, -8301
9360, -8315
9370, -8330
9390, -8350
9400, -8366
9410, -8381
9430, -8398
9440, -8414
9450, -8428
9470, -8447
9480, -8464
9500, -8480
9510, -8495
9520, -8512
9540, -8529
9550, -8545
9560, -8563
9580, -8580
9590, -8598
9600, -8614
9620, -8632
9630, -8651
9640, -8667
9660, -8683
9670, -8702
9680, -8719
9700, -8736
9710, -8757
9730, -8776
9740, -8791
9750, -8809
9770, -8827
9780, -8845
9790, -8864
9810, -8882
9820, -8901
9830, -8919
9850, -8939
9860, -8959
9870, -8976
9890, -8997
9900, -9015
9910, -9031
9930, -9053
9940, -9070
9950, -9088
9970, -9109
9980, -9125
10000, -9149
10010, -9168
10020, -9188
10040, -9209
10050, -9227
10070, -9249
10080, -9269
10100, -9287
10110, -9310
10130, -9328
10140, -9350
10160, -9372
10170, -9390
10180, -9411
10200, -9429
10210, -9452
10230, -9471
10240, -9491
10260, -9512
10270, -9530
10290, -9554
10300, -9573
10320, -9596
10330, -9614
10340, -9632
10360, -9656
10370, -9673
10390, -9694
10400, -9715
10420, -9734
10430, -9758
10450, -109776
10460, -109800
10480, -109821
10500, -109846
10510, -109869
10530, -109890
10550, -109915
10560, -109937
10580, -109963
10600, -109984
10610, -110008
10630, -110029
10650, -110056
10660, -110076
10680, -110100
10700, -110123
10710, -110147
10730, -110171
10750, -110193
10760, -110216
10780, -110238
10800, -110264
10810, -110284
10830, -110310
10850, -110331
10860, -110357
10880, -110378
10900, -110404
10910, -110424
10930, -110448
10950, -110472
10960, -110493
10980, -110517
11000, -110540
11010, -110566
11030, -110586
11050, -110612
11060, -110632
11080, -110658
11100, -110679
11110, -110703
11130, -110725
11150, -110751
11160, -110773
11180, -110796
11200, -110820
11210, -110842
11230, -110866
11250, -110889
11260, -110912
11280, -110933
11300, -110961
11310, -110980
11330, -111005
11350, -111028
11360, -111052
11380, -111073
11400, -111099
11410, -111120
11430, -111143
11450, -111169
11460, -111189
11480, -111214
11500, -111238
11510, -111261
11530, -111281
11550, -111309
11560, -111328
11580, -111353
11600, -111377
11610, -111399
11630, -111421
11640, -111444
11660, -111469
11680, -111490
11690, -111515
11710, -111537
11730, -111563
11740, -111583
11760, -111609
11780, -111629
11790, -111654
11810, -111676
11830, -111700
11840, -111723
11860, -111746
11880, -111771
11890, -111793
11910, -111817
11930, -111838
11940, -111864
11960, -111884
11980, -111910
11990, -111931
12010, -111956
12030, -111978
12040, -112003
12060, -112024
12080, -112047
12090, -112071
12110, -112093
12130, -112118
12140, -112140
12160, -112166
12180, -112186
12190, -112212
12210, -112232
12230, -112257
12240, -112278
12260, -112303
12280, -112325
12290, -112349
12310, -112373
12330, -112396
12340, -112419
12360, -112440
12380, -112466
12390, -112486
12410, -112512
12430, -112533
12440, -112559
12460, -112581
12480, -112606
12490, -112626
12510, -112650
12530, -112673
12540, -112696
12560, -112720
12580, -112742
12590, -112768
12610, -112789
12630, -112814
12640, -112834
12660, -112860
12680, -112881
12690, -112906
12710, -112927
12730, -112952
12740, -112975
12760, -112999
12780, -113021
12790, -113043
12810, -113068
12830, -113089
12840, -113114
12860, -113135
12880, -113163
12890, -113183
12910, -113208
12930, -113229
12940, -113253
12960, -113276
12980, -113299
12990, -113322
13010, -113345
13030, -113371
13040, -113391
13060, -113415
13080, -113437
13090, -113462
13110, -113482
13130, -113508
13140, -113528
13160, -113554
13180, -113578
13190, -113600
13210, -113622
13230, -113646
13240, -113670
13260, -113689
13280, -113716
13290, -113736
13310, -113763
13330, -113785
13340, -113808
13360, -113829
13380, -113856
13390, -113875
13410, -113898
13430, -113924
13440, -113946
13460, -113970
13480, -113994
13490, -114016
13510, -114037
13530, -114065
13540, -114083
13560, -114108
13580, -114132
13590, -114155
13610, -114177
13630, -114204
13640, -114223
13660, -114248
13680, -114272
13690, -114291
13710, -114316
13720, -114338
13740, -114364
13760, -114384
13770, -114410
13790, -114431
13810, -114456
13820, -114477
13840, -114501
13860, -114524
13870, -114547
13890, -114571
13910, -114594
13920, -114618
13940, -114639
13960, -114664
13970, -114684
13990, -114710
14010, -114732
14020, -114757
14040, -114778
14060, -114803
14070, -114825
14090, -114848
14110, -114871
14120, -114893
14140, -114918
14160, -114939
14170, -114965
14190, -114986
14210, -115011
14220, -115032
14240, -115057
14260, -115078
14270, -115103
14290, -115124
14310, -115148
14320, -115172
14340, -115195
14360, -115219
14370, -115239
14390, -115263
14410, -115281
14420, -115306
14440, -115325
14460, -115350
14470, -115374
14490, -115397
14510, -115419
14520, -115442
14540, -115467
14560, -115488
14570, -115513
14590, -115532
14610, -115556
14620, -115577
14640, -115599
14660, -115621
14670, -115644
14690, -115669
14710, -115690
14720, -115714
14740, -115735
14760, -115762
14770, -115783
14790, -115807
14810, -115828
14820, -115854
14840, -115875
14860, -115899
14870, -115919
14890, -115941
14910, -115966
14920, -115984
14940, -116009
14960, -116030
14970, -116055
14990, -116075
15010, -116098
15020, -116119
15040, -116140
15060, -116165
15070, -116184
15090, -116209
15110, -116231
15120, -116257
15140, -116276
15160, -116302
15170, -116323
15190, -116348
15210, -116372
15220, -116393
15240, -116417
15260, -116442
15270, -116464
15290, -116483
15310, -116509
15320, -116527
15340, -116551
15360, -116572
15370, -116592
15390, -116614
15410, -116636
15420, -116659
15440, -116678
15460, -116704
15470, -116722
15490, -116744
15510, -116767
15520, -116785
15540, -116809
15560, -116830
15570, -116853
15590, -116873
15610, -116898
15620, -116917
15640, -116938
15660, -116963
15670, -116980
15690, -117004
15710, -117025
15720, -117046
15740, -117068
15760, -117091
15770, -117112
15790, -117133
15800, -117157
15820, -117175
15840, -117198
15850, -117218
15870, -117240
15890, -117264
15900, -117283
15920, -117307
15940, -117327
15950, -117351
15970, -117370
15990, -117392
16000, -117414
16020, -117435
16040, -117459
16050, -117478
16070, -117502
16090, -117522
16100, -117545
16120, -117566
16140, -117586
16150, -117610
16170, -117628
16190, -117653
16200, -117673
16220, -117695
16240, -117717
16250, -117738
16270, -117761
16290, -117780
16300, -117804
16320, -117823
16340, -117846
16350, -117868
16370, -117889
16390, -117911
16400, -117932
16420, -117956
16440, -117975
16450, -117998
16470, -118018
16490, -118039
16500, -118063
16520, -118082
16540, -118107
16550, -118126
16570, -118151
16590, -118172
16600, -118193
16620, -118214
16640, -118234
16650, -118258
16670, -118276
16690, -118300
16700, -118320
16720, -118344
16740, -118366
16750, -118386
16770, -118409
16790, -118429
16800, -118453
16820, -118472
16840, -118494
16850, -118516
16870, -118537
16890, -118562
16900, -118581
16920, -118605
16940, -118624
16950, -118647
16970, -118668
16990, -118689
17000, -118711
17020, -118732
17040, -118760
17050, -118780
17070, -118805
17090, -118826
17100, -118851
17120, -118872
17140, -118896
17150, -118918
17170, -118941
17190, -118967
17200, -118989
17220, -119011
17240, -119034
17250, -119059
17270, -119079
17290, -119105
17300, -119125
17320, -119151
17340, -119174
17350, -119198
17370, -119218
17390, -119244
17400, -119266
17420, -119287
17440, -119313
17450, -119334
17470, -119360
17490, -119383
17500, -119406
17520, -119427
17540, -119455
17550, -119473
17570, -119497
17590, -119522
17600, -119544
17620, -119568
17640, -119593
17650, -119614
17670, -119636
17690, -119663
17700, -119681
17720, -119707
17740, -119731
17750, -119755
17770, -219776
17790, -219802
17800, -219821
17820, -219847
17840, -219871
17850, -219891
17870, -219915
17880, -219937
17900, -219964
17920, -219984
17930, -220009
17950, -220030
17970, -220056
17980, -220076
18000, -220101
18020, -220123
18030, -220147
18050, -220171
18070, -220194
18080, -220217
18100, -220239
18120, -220264
18130, -220284
18150, -220310
18170, -220331
18180, -220358
18200, -220379
18220, -220405
18230, -220428
18250, -220456
18270, -220477
18280, -220504
18300, -220527
18320, -220554
18330, -220576
18350, -220604
18370, -220628
18380, -220658
18400, -220682
18420, -220710
18430, -220735
18450, -220764
18470, -220788
18480, -220815
18500, -220840
18520, -220869
18530, -220895
18550, -220921
18570, -220949
18580, -220975
18600, -221002
18620, -221026
18630, -221058
18650, -221084
18670, -221115
18680, -221143
18700, -221174
18720, -221204
18730, -221232
18750, -221264
18770, -221292
18780, -221322
18800, -221355
18820, -221382
18830, -221413
18850, -221442
18870, -221472
18880, -221503
18900, -221531
18920, -221565
18930, -221592
18950, -221622
18970, -221653
18980, -221680
19000, -221712
19020, -221741
19030, -221772
19050, -221802
19070, -221831
19080, -221863
19100, -221890
19120, -221922
19130, -221953
19150, -221981
19170, -222013
19180, -222040
19200, -222071
19220, -222102
19230, -222129
19250, -222162
19270, -222191
19280, -222220
19300, -222250
19320, -222279
19330, -222310
19350, -222338
19370, -222372
19380, -222400
19400, -222428
19420, -222462
19430, -222487
19450, -222519
19470, -222551
19480, -222579
19500, -222610
19520, -222639
19530, -222670
19550, -222699
19570, -222730
19580, -222760
19600, -222787
19620, -222820
19630, -222847
19650, -222877
19670, -222911
19680, -222936
19700, -222969
19720, -223001
19730, -223026
19750, -223057
19770, -223086
19780, -223116
19800, -223145
19820, -223179
19830, -223206
19850, -223233
19870, -223268
19880, -223293
19900, -223324
19920, -223360
19930, -223384
19950, -223414
19960, -223442
19980, -223473
20000, -223503
20010, -223531
20030, -223565
20050, -223593
20060, -223622
20080, -223653
20100, -223680
20110, -223712
20130, -223741
20150, -223773
20160, -223802
20180, -223830
20200, -223863
20210, -223889
20230, -223920
20250, -223952
20260, -223981
20280, -224011
20300, -224039
20310, -224070
20330, -224098
20350, -224128
20360, -224161
20380, -224188
20400, -224218
20410, -224248
20430, -224276
20450, -224307
20460, -224336
20480, -224368
20500, -224397
20510, -224425
20530, -224457
20550, -224484
20560, -224516
20580, -224546
20600, -224576
20610, -224606
20630, -224634
20650, -224665
20660, -224692
