encoder,Fz,Fx,Fy,Tx,Ty,Tz,time,turn_count
0,0,0,0,0,0,0,0,0
0,8306,259,-8262,-51,90,156,151,0
0,-4532,-893,-5583,-49,267,-93,294,0
0,3670,-3764,-5706,86,57,-83,435,0
0,-3508,-4116,-4227,-39,259,144,575,0
0,3336,1,-6931,35,4,169,713,0
0,-10556,-8592,-1857,62,85,-128,854,0
4,604,-1812,-4744,180,374,-124,1011,0
54,1876,-5243,3958,22,229,-82,1155,0
130,-60,-2022,-4834,285,289,-194,1298,0
222,-11866,-5352,260,-34,374,221,1438,0
336,2106,-6268,-6121,-8,564,-20,1584,0
452,-12040,-7053,-6439,159,210,-270,1724,0
597,-5828,-10579,-4910,75,358,-145,1864,0
778,-19226,4078,-13058,37,30,-171,2006,0
918,276,-11189,-8523,-27,143,-160,2145,0
1079,-10244,-6029,-6204,107,163,9,2284,0
1237,-11418,-7193,3463,422,14,-177,2426,0
1361,-22820,-7370,-7000,198,348,38,2567,0
1486,-19584,-2432,-4574,201,18,-295,2709,0
1603,-26600,-5934,1551,281,23,-152,2849,0
1728,-20534,-5737,-1157,269,156,115,2988,0
1868,-14608,-4213,-12642,157,42,8,3127,0
2022,-17088,-5086,-10352,341,-98,21,3266,0
2175,-25138,-7364,1639,296,237,87,3405,0
2338,-28760,-5163,-2719,478,57,-7,3544,0
2517,-22132,-4489,-5251,396,119,-165,3691,0
2698,-19980,-8676,-4898,248,88,7,3838,0
2877,-23290,-7512,-8967,213,262,-107,3979,0
3047,-25740,-12749,-7804,441,195,74,4122,0
3238,-27642,-14127,-5012,224,233,81,4264,0
3444,99020,-7224,-17774,248,872,307,4404,0
3649,172982,3416,-9190,213,1309,16,4554,0
3855,265604,-2379,-9664,247,1953,-126,4695,0
4048,346856,690,-12925,121,2243,75,4837,0
4252,403756,3925,7675,61,2801,168,4976,0
4443,495100,13275,-1292,-35,3128,-80,5118,0
4634,595076,8086,13775,-172,3894,449,5260,0
4968,701800,27500,33526,-435,4483,-9,5495,0
5157,830584,24117,30123,-448,5601,193,5640,0
5363,881620,-7945,3974,706,5284,-142,5784,0
5571,976092,22019,23173,594,5890,199,5931,0
5761,1072152,45539,21071,818,6468,-83,6072,0
5950,1129772,37131,-4341,799,6724,92,6214,0
6172,1223700,62685,-14291,914,7030,51,6358,0
6350,1317296,57250,-5800,1198,7589,72,6499,0
6508,1372618,63221,-1670,1227,8163,173,6639,0
6659,1443348,59214,-3966,1079,8530,-188,6783,0
6803,1520952,72624,-487,1263,8837,68,6924,0
6953,1569132,41136,-25361,1180,9719,25,7065,0
7118,1645452,73732,10174,995,10317,143,7208,0
7300,1716750,100094,12878,1216,10651,86,7356,0
7460,1810458,94939,-30714,1202,11483,-46,7497,0
7626,1887346,73339,-33812,1130,12047,78,7637,0
7805,1976342,108353,-1291,1317,12388,-217,7779,0
7969,2045796,102976,-19612,1466,13118,100,7918,0
8134,2119188,102926,-26277,1153,13467,-76,8059,0
8308,2198288,132488,-37902,1322,13931,6,8204,0
8460,2285692,114610,-39972,1407,14518,-445,8345,0
8642,2366826,136070,-8412,1596,15033,67,8486,0
