Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10589917, -4573021, -33323892, 66938, 222636, -152643,11818, 
0x00000000, -10645860, -4605040, -33364750, 66978, 223044, -153028,11965, 
0x00000000, -10607397, -4565824, -33431796, 67219, 223526, -152478,12107, 
0x00000000, -10582879, -4563808, -33469676, 67054, 223913, -152625,12247, 
0x00000000, -10587632, -4548038, -33528388, 67262, 224139, -152349,12390, 
0x00000000, -10630549, -4568586, -33576224, 67374, 224635, -152664,12531, 
0x00000000, -10601287, -4560251, -33628888, 67296, 224959, -152404,12672, 
0x00000000, -10575827, -4537415, -33699088, 67765, 225408, -152492,12812, 
0x00000000, -10571581, -4539487, -33758740, 67893, 226075, -152355,12954, 
0x00000000, -10584167, -4522729, -33808936, 67851, 226305, -152366,13097, 
0x00000000, -10579936, -4544317, -33889808, 68089, 226753, -152560,13237, 
0x00000000, -10580682, -4530089, -33948596, 67982, 227233, -152553,13383, 
0x00000000, -10563368, -4517222, -34014900, 68005, 227743, -152190,13527, 
0x00000000, -10564263, -4502495, -34074224, 68167, 228049, -152339,13667, 
0x00000000, -10533751, -4528297, -34103632, 68008, 228448, -152309,13811, 
0x00000000, -10527019, -4568125, -34149136, 68207, 228605, -152439,13958, 
0x00000000, -10531559, -4578089, -34188292, 68222, 229020, -152438,14098, 
0x00000000, -10544940, -4569920, -34243600, 68499, 229461, -152761,14241, 
0x00000000, -10535810, -4564112, -34293364, 68485, 229812, -152730,14386, 
0x00000000, -10518103, -4553878, -34346752, 68791, 229810, -152496,14528, 
0x00000000, -10508286, -4565599, -34415156, 68761, 230406, -152446,14668, 
0x00000000, -10516189, -4570552, -34480208, 68802, 230657, -152668,14813, 
0x00000000, -10524740, -4569879, -34537812, 68876, 231140, -152584,14956, 
0x00000000, -10509682, -4563407, -34589052, 68916, 231513, -152537,15098, 
0x00000000, -10502553, -4566951, -34651624, 69056, 232385, -152212,15248, 
