Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10962897, -4237368, -37512476, 72627, 177783, -208547,13143, 
0x00000000, -10992241, -4270885, -37516364, 72690, 177555, -208612,13303, 
0x00000000, -11004753, -4251853, -37510528, 72704, 177948, -208650,13457, 
0x00000000, -10994439, -4250200, -37502432, 72631, 177461, -208392,13610, 
0x00000000, -10997467, -4254644, -37498672, 72767, 177812, -208556,13762, 
0x00000000, -11012319, -4280799, -37485136, 72596, 177761, -208417,13914, 
0x00000000, -11025854, -4273381, -37502400, 72629, 177588, -208823,14068, 
0x00000000, -11004706, -4274272, -37496912, 72699, 177838, -208412,14221, 
0x00000000, -11022067, -4288313, -37498720, 72737, 177688, -208426,14372, 
0x00000000, -11021235, -4275198, -37519424, 72662, 177678, -208481,14530, 
0x00000000, -10997706, -4256203, -37501896, 72704, 177994, -208484,14684, 
0x00000000, -10998410, -4258915, -37507632, 72959, 177388, -208356,14839, 
0x00000000, -11002111, -4268961, -37506592, 72528, 177764, -208409,15000, 
0x00000000, -11002412, -4256175, -37503312, 72675, 177746, -208598,15156, 
0x00000000, -11001354, -4274203, -37501544, 72527, 177637, -208520,15310, 
0x00000000, -11011050, -4265368, -37494232, 72857, 177466, -208392,15462, 
0x00000000, -11009789, -4254521, -37502104, 72883, 177764, -208409,15628, 
0x00000000, -11005177, -4263126, -37489452, 72914, 177610, -208600,15781, 
0x00000000, -11002720, -4260599, -37484600, 72952, 177619, -208534,15935, 
0x00000000, -11013688, -4267406, -37504008, 72674, 177469, -208441,16098, 
0x00000000, -11002238, -4262586, -37503272, 72629, 177772, -208377,16252, 
0x00000000, -11002084, -4268012, -37500176, 72488, 177584, -208583,16405, 
0x00000000, -11006729, -4269714, -37495000, 72524, 177412, -208518,16561, 
0x00000000, -10999119, -4264807, -37490136, 72707, 177380, -208454,16715, 
0x00000000, -11004360, -4270963, -37497532, 72398, 177410, -208432,16868, 
0x00000000, -11014706, -4262551, -37494672, 72752, 177475, -208715,17022, 
0x00000000, -10997337, -4258830, -37500376, 72475, 177645, -208631,17296, 
0x00000000, -11014103, -4270597, -37499656, 72464, 177761, -208611,17455, 
0x00000000, -11003351, -4270609, -37504340, 72368, 177445, -208432,17616, 
0x00000000, -11005942, -4266055, -37500164, 72359, 177582, -208281,17775, 
0x00000000, -11006098, -4278442, -37492172, 72429, 177556, -208105,17932, 
0x00000000, -11003734, -4261730, -37501572, 72347, 177520, -208302,18093, 
0x00000000, -11012985, -4272669, -37499880, 72282, 177657, -208388,18253, 
0x00000000, -11011595, -4270004, -37493864, 72540, 177322, -208129,18411, 
0x00000000, -11010385, -4269062, -37485032, 72601, 177446, -208236,18569, 
0x00000000, -11005146, -4268924, -37501704, 72578, 177594, -208482,18727, 
0x00000000, -11022858, -4275955, -37484880, 72541, 177592, -208406,18894, 
0x00000000, -11006918, -4260729, -37497656, 72641, 177679, -208565,19049, 
0x00000000, -11013437, -4265918, -37485736, 72420, 177556, -208332,19207, 
0x00000000, -11004621, -4266527, -37486020, 72257, 177536, -208413,19362, 
0x00000000, -11009565, -4266836, -37493232, 72347, 177483, -208417,19526, 
0x00000000, -11016811, -4265732, -37490748, 72543, 177717, -208379,19695, 
0x00000000, -11000842, -4269311, -37493456, 72391, 177481, -208523,19852, 
0x00000000, -11010482, -4271073, -37496744, 72514, 177602, -208260,20008, 
0x00000000, -11005279, -4266889, -37494504, 72509, 177350, -208292,20169, 
0x00000000, -10969322, -4194949, -37494720, 72322, 177486, -208376,20326, 
0x00000000, -11007616, -4225501, -37497892, 72187, 177436, -208873,20482, 
0x00000000, -11008651, -4206858, -37488072, 72362, 177484, -208148,20641, 
0x00000000, -11010214, -4215280, -37489140, 72325, 177267, -208581,20795, 
0x00000000, -11010607, -4209165, -37500080, 72366, 177520, -208733,20952, 
0x00000000, -11008504, -4206133, -37506736, 72316, 177384, -208660,21106, 
0x00000000, -10997601, -4179710, -37526504, 72355, 177240, -208648,21261, 
0x00000000, -10994780, -4004188, -37551808, 72329, 177380, -209229,21417, 
0x00000000, -11109511, -3994472, -37595604, 72321, 177022, -209324,21572, 
0x00000000, -11123077, -4170607, -37654512, 70147, 174849, -208852,21733, 
0x00000000, -11095263, -4196651, -37712880, 69490, 173653, -208631,21890, 
0x00000000, -11132381, -4218468, -37771336, 68964, 173056, -208753,22042, 
0x00000000, -11155006, -4194278, -37837272, 68776, 172736, -208783,22200, 
0x00000000, -11129742, -4169863, -37935840, 68290, 171906, -208673,22353, 
0x00000000, -11162607, -4230673, -38029460, 68056, 171543, -208767,22507, 
0x00000000, -11152553, -4193670, -38091720, 68334, 171310, -208807,22668, 
0x00000000, -11186552, -4220865, -38146392, 68413, 171395, -208567,22821, 
0x00000000, -11217310, -4225826, -38188428, 68668, 171338, -208912,22973, 
0x00000000, -11242328, -4241073, -38241144, 68543, 171335, -208864,23126, 
0x00000000, -11328723, -4296438, -38241664, 68290, 171106, -208574,23285, 
0x00000000, -11179969, -4199805, -38268888, 67141, 169588, -208767,23438, 
0x00000000, -11218437, -4256490, -38322616, 66104, 167961, -208597,23592, 
0x00000000, -11174407, -4225779, -38285036, 65513, 167097, -208782,23751, 
0x00000000, -11218267, -4295728, -38137812, 65115, 167648, -208240,23904, 
0x00000000, -11202659, -4303305, -38007860, 64999, 168244, -208431,24058, 
0x00000000, -11272076, -4380151, -37824880, 64913, 169230, -207845,24213, 
0x00000000, -11171575, -4292978, -37714432, 64626, 168642, -208207,24366, 
0x00000000, -11176702, -4319610, -37606248, 64219, 168619, -208196,24525, 
0x00000000, -11178409, -4360542, -37477896, 63869, 168375, -207944,24679, 
0x00000000, -11160017, -4298314, -37376876, 63710, 168619, -208191,24831, 
0x00000000, -11169823, -4304008, -37251728, 63384, 168672, -208082,24984, 
0x00000000, -11147443, -4287767, -37062616, 62822, 169316, -208231,25136, 
0x00000000, -11184610, -4352148, -36833728, 62730, 170119, -207611,25293, 
0x00000000, -11136843, -4354423, -36652552, 62123, 170725, -207659,25446, 
0x00000000, -11148324, -4399223, -36430792, 62303, 171821, -207332,25599, 
0x00000000, -10988725, -4263300, -36177660, 61860, 173092, -207970,25763, 
0x00000000, -11116635, -4413323, -35960320, 61835, 174159, -207367,25917, 
0x00000000, -11097566, -4432752, -35753692, 61747, 175108, -207330,26072, 
0x00000000, -11037594, -4382068, -35563736, 61117, 176247, -207524,26226, 
0x00000000, -11011968, -4363474, -35350512, 61153, 176805, -207146,26378, 
0x00000000, -11025419, -4378704, -35170248, 60835, 177726, -207466,26531, 
0x00000000, -10991777, -4354069, -34964128, 60679, 178377, -207330,26685, 
0x00000000, -11005778, -4370057, -34770652, 60503, 179715, -207126,26841, 
0x00000000, -10980663, -4335544, -34590440, 60786, 180367, -207405,26993, 
0x00000000, -10943217, -4311359, -34411352, 60306, 181392, -207364,27146, 
0x00000000, -10956387, -4357331, -34238504, 60207, 182044, -207104,27301, 
0x00000000, -10951011, -4346692, -34073788, 60086, 183026, -206861,27453, 
0x00000000, -10927373, -4338172, -33920000, 59944, 183393, -206936,27615, 
0x00000000, -10914311, -4322755, -33714664, 60070, 183894, -207333,27766, 
0x00000000, -10882742, -4282635, -33577428, 59755, 184257, -207283,27960, 
0x00000000, -10865418, -4257497, -33346744, 59900, 185046, -207370,28114, 
0x00000000, -10871412, -4285735, -33178852, 59906, 185609, -207209,28267, 
0x00000000, -10855620, -4253772, -32976268, 59940, 186335, -207142,28419, 
0x00000000, -10838646, -4258023, -32808164, 59703, 186702, -207180,28573, 
0x00000000, -10823514, -4240683, -32600680, 59697, 187429, -207343,28730, 
0x00000000, -10819029, -4255209, -32450548, 59296, 188450, -207529,28880, 
0x00000000, -10801220, -4270205, -32299292, 58955, 188722, -207131,29030, 
0x00000000, -10778706, -4268734, -32160684, 58921, 189187, -207281,29180, 
0x00000000, -10762302, -4280578, -31986124, 58993, 190194, -206998,29332, 
0x00000000, -10751443, -4277204, -31839036, 59197, 190772, -207297,29489, 
0x00000000, -10751570, -4267759, -31685704, 59737, 191656, -207314,29640, 
0x00000000, -10737680, -4282999, -31537372, 59623, 192522, -207016,29792, 
0x00000000, -10721388, -4281767, -31408138, 59933, 193534, -206743,29945, 
0x00000000, -10725697, -4271109, -31266464, 60289, 194337, -206833,30098, 
0x00000000, -10705627, -4279268, -31137992, 60763, 195513, -206935,30252, 
0x00000000, -10699727, -4272489, -30982800, 60753, 196564, -206996,30431, 
0x00000000, -10693562, -4279763, -30903794, 60965, 197101, -206966,30589, 
0x00000000, -10687356, -4277514, -30830752, 61254, 197748, -206913,30745, 
0x00000000, -10677745, -4274468, -30737772, 61703, 198379, -206873,30903, 
0x00000000, -10695441, -4276524, -30729392, 61723, 198834, -207177,31060, 
0x00000000, -10677283, -4281860, -30721748, 61983, 198825, -207224,31211, 
0x00000000, -10683258, -4277622, -30719138, 61535, 198940, -206985,31365, 
0x00000000, -10679844, -4275286, -30724504, 61777, 198816, -206979,31522, 
0x00000000, -10682644, -4279777, -30721708, 61877, 198786, -206733,31673, 
0x00000000, -10677895, -4270311, -30715298, 61857, 198760, -206985,31826, 
0x00000000, -10671808, -4270844, -30716192, 62055, 198809, -206799,31978, 
0x00000000, -10681011, -4272711, -30718842, 62165, 198927, -206799,32129, 
0x00000000, -10680785, -4275084, -30727842, 61817, 198841, -207043,32280, 
0x00000000, -10675786, -4278004, -30710276, 61685, 198824, -206918,32434, 
0x00000000, -10679260, -4268476, -30719556, 62136, 198727, -207201,32591, 
0x00000000, -10687771, -4265330, -30712764, 62310, 198667, -207080,32742, 
0x00000000, -10676440, -4268166, -30715152, 61931, 198830, -206920,32898, 
0x00000000, -10686576, -4275678, -30719672, 61869, 198963, -207123,33053, 
0x00000000, -10671155, -4268379, -30715934, 61878, 198591, -206921,33206, 
0x00000000, -10682692, -4279549, -30717650, 61642, 198630, -207109,33358, 
0x00000000, -10685706, -4263472, -30721864, 61847, 198702, -207001, 1645283777960, 
