encoder,Fz,Fx,Fy,Tx,Ty,Tz,time,turn_count
0,0,0,0,0,0,0,0,0
0,6390,1662,3264,-30,-24,34,156,0
0,1732,-4757,6075,45,-69,-242,312,0
0,-9282,-2807,3220,43,221,-69,465,0
0,-3242,-13798,2473,87,295,-202,618,0
0,3056,-317,2369,64,184,21,770,0
0,-820,-2313,5355,-124,124,-107,924,0
0,6284,-12523,8146,186,167,91,1079,0
0,-5896,-1298,1964,-212,119,-118,1233,0
0,-7120,-3589,9381,125,359,196,1388,0
0,-3156,-5218,476,31,-92,244,1550,0
0,-4658,-6605,1349,67,-82,-177,1705,0
0,-3208,-5997,8107,368,-49,10,1857,0
0,-3644,-2852,10285,47,30,55,2008,0
0,-5212,1149,2463,81,70,9,2171,0
0,-384,-10162,-833,161,162,-17,2326,0
0,-4644,-4056,-863,182,-181,-85,2480,0
0,-1912,2633,-4201,139,-142,-124,2635,0
0,-7500,-5257,2594,65,-191,156,2786,0
0,-4098,-4089,13496,330,-29,-157,2939,0
0,-14188,-1961,4869,201,60,-220,3094,0
0,-3420,-9972,5280,156,5,-132,3248,0
0,-13384,-2858,10336,456,-92,50,3400,0
25,-23404,-2795,11073,296,199,-167,3664,0
182,-12812,-4869,6696,346,90,-36,3818,0
375,-8416,-3284,8062,366,58,-12,3970,0
580,-12172,-8970,4798,204,163,127,4124,0
817,-18572,-6791,6878,268,209,82,4278,0
1041,-20480,-3129,8488,261,216,-61,4432,0
1288,-1770,2500,4709,278,57,141,4587,0
1526,-13836,-1572,7874,131,-212,-31,4740,0
1778,-6060,-2673,7304,283,61,144,4895,-1
2000,-11056,-10075,5472,132,37,-302,5050,-1
2270,-11070,-2669,3184,371,49,-87,5213,-1
2521,-13554,-13784,860,337,-28,-176,5367,-1
2769,-16346,-7717,5253,154,205,7,5520,-1
2988,-20088,207,3764,103,-124,-70,5673,-1
3241,-23976,-8719,13455,392,82,-140,5825,-1
3493,-10948,-7827,9638,156,173,-148,5978,-1
3747,-21206,-8565,5974,311,-53,-23,6132,-1
3978,-9596,-1268,1345,-74,59,-268,6285,-1
4259,-31664,-9480,8352,364,93,-84,6438,-1
4486,-15060,-14656,4508,217,303,11,6592,-1
4736,-15124,-4721,-507,-100,180,158,6746,-1
4990,-9994,-11680,3308,322,230,-83,6899,-1
5253,1521962,-407774,-108636,-27291,56567,4244,7049,-1
5486,2962636,-558400,-48905,-51328,110708,9692,7204,-1
5751,4386440,-1269863,-303728,-75859,163870,12820,7356,-1
6023,5722888,-1554836,-470937,-93029,216260,10140,7510,-1
6290,7154320,-1825456,-608550,-114346,270645,10113,7673,-1
6573,8928404,-2511284,-826913,-139234,339610,12365,7825,-1
6860,10352860,-2458567,-711357,-164356,391952,17884,7978,-1
7153,12389016,-3272456,-883917,-194360,469625,24430,8131,-1
7455,13866652,-3119852,-601144,-216527,525191,33562,8287,-1
7753,15734204,-4264073,-861405,-240756,598418,40792,8440,-1
8015,17525252,-4397435,-662138,-267534,666816,50622,8593,-1
8093,18271028,-4585797,-554239,-278022,695568,57541,8750,-1
8093,18613724,-4709317,-537409,-282761,708620,60122,8901,-1
8094,18805660,-4728553,-561051,-285776,716408,59421,9054,-1
8094,18950920,-4844593,-491638,-287756,721956,64166,9205,-1
8095,19030300,-4763771,-562075,-288711,724554,60273,9359,-1
8095,19257012,-5057311,-561200,-292079,733783,64766,9516,-1
8023,20377620,-5609489,-592462,-308538,776092,72524,9670,-1
7878,21275668,-5186385,-177974,-328619,807743,84064,9825,-1
7479,18929940,-1341390,601432,-302228,714516,54937,9978,-1
7090,16381432,3032,682263,-268164,615190,36129,10132,-1
6804,14597636,21030,246918,-243176,546563,18688,10286,-1
6639,13763620,263505,234408,-229593,514894,13497,10440,-1
6566,12902040,159375,1870,-215570,482626,5809,10592,-1
6389,11501448,430461,-196689,-192658,430549,-7972,10746,-1
6212,10117656,253319,-402558,-169676,378889,-13731,10899,-1
6004,8240844,548025,-512329,-140717,307602,-24104,11053,-1
5774,6497740,-257806,-814231,-115292,240731,-22246,11204,-1
5538,4831910,-57071,-563505,-87838,178527,-16967,11363,-1
5252,3361516,51643,-354926,-61881,124628,-12299,11526,-1
5005,2137720,-92861,-290630,-39280,79763,-8054,11680,-1
4742,1606244,-190725,-302717,-29538,60548,-7027,11837,-1
4478,400028,38253,-22527,-7765,15898,-1615,11990,-1
4197,3328,-5251,3696,-510,1621,72,12143,-1
3875,4260,-1917,4588,-488,1287,-101,12297,-1
3585,-12492,-58,4122,-405,1012,-108,12450,-1
3291,-9378,-2788,-8040,-336,595,-204,12604,-1
2994,-17096,-7024,3203,-171,730,-88,12755,-1
2664,-25112,-10369,-1287,-94,703,-93,12916,-1
1805,-19786,-8128,-3801,-9,569,-41,13347,-1
1510,-27244,-3249,-3133,-56,214,71,13502,0
1184,-42002,1169,-1015,90,234,63,13656,0
896,-27512,4086,-6845,2,46,-203,13811,0
608,-31228,-4048,-1726,-17,268,51,13965,0
792,-23624,-18712,12182,333,168,-123,14119,0
793,-31896,-806,-6472,334,146,16,14274,0
793,-24872,-1819,-5900,259,-110,-145,14435,0
793,-28152,-3806,-737,316,400,-122,14588,0
793,-24646,-1287,2629,355,172,-142,14742,0
793,-32958,-5411,-2645,326,96,14,14901,0
