encoder,Fz,Fx,Fy,Tx,Ty,Tz,time,turn_count
0,0,0,0,0,0,0,0,0
0,-13962,-229,1538,117,-311,23,150,0
0,-15242,-3531,-2422,-192,-137,264,301,0
0,-14292,-1438,5415,-99,-124,227,450,0
4,-13198,5696,2411,-44,-346,153,600,0
44,-11850,-2725,-603,-141,-269,37,748,0
122,-21924,8545,-3676,-176,51,-32,900,0
216,-21686,10883,-3113,-165,-227,-82,1053,0
326,-13070,-415,-104,-204,-26,-298,1217,0
431,-30658,9633,-7594,-303,18,-187,1369,0
839,-27042,2101,2316,-28,-205,-37,1833,0
993,-28190,7293,-2237,-44,-126,-48,2000,0
1136,-33432,-3299,-6315,-18,33,39,2155,0
1323,-31822,-2056,-1377,-8,-109,-21,2326,0
1494,-33682,2482,-3821,62,-161,35,2478,0
1673,-29774,8833,4686,-82,-105,259,2637,0
1851,-26394,-5595,-558,84,-222,-141,2790,0
2029,-31660,-4326,9099,68,129,90,2944,0
2224,-27794,-1797,-2338,-6,35,49,3098,0
2409,-48788,13203,5940,45,-203,105,3252,0
2607,-38150,5376,-2700,-192,-218,73,3405,0
2832,-29490,-719,-5505,-251,122,-17,3559,0
3042,-36726,11366,8634,-1,-73,62,3714,0
3266,-35054,-711,-791,-219,109,-4,3867,0
3471,-28584,-3632,5307,-250,201,-133,4018,0
3652,109414,5693,-7450,-415,-729,-23,4174,0
3851,257582,17511,-6377,-489,-1278,-173,4333,0
4042,364030,25566,9921,-465,-1957,-182,4487,0
4198,468098,31881,-15761,-834,-2069,-84,4646,0
4368,557962,21453,-15687,-587,-2671,-97,4799,0
4536,633870,37302,266,-891,-2739,-53,4953,0
4716,738556,40527,-5236,-841,-3195,-184,5107,0
4888,814592,52600,13923,-881,-3277,-148,5263,0
5057,901262,78287,-33094,-1184,-3714,-106,5417,0
5252,1001488,71334,-49195,-1395,-3861,-48,5573,0
5454,1106724,85521,-27461,-858,-4347,-304,5727,0
5645,1201102,50551,-40621,679,-4867,-139,5881,-1
5822,1316710,80326,5910,1549,-5355,-226,6034,-1
6050,1419878,85986,-9326,1543,-5692,-161,6188,-1
6253,1539736,65749,-11719,2262,-5615,-145,6351,-1
6460,1650606,85610,-5631,2841,-6271,171,6511,-1
6662,1806414,84695,-31648,3324,-6907,-182,6663,-1
6869,1926104,89878,-3082,3967,-7318,-293,6816,-1
7067,2066134,108040,-8423,4266,-7673,145,6973,-1
7258,2211840,122614,-31987,4617,-8069,-266,7130,-1
7451,2310382,111341,-18760,5020,-7974,61,7285,-1
7636,2423286,115735,-24042,5286,-7910,50,7438,-1
7808,2537362,127640,28750,5468,-7622,34,7591,-1
8002,2659794,148992,14769,5692,-7834,70,7744,-1
8188,2763758,148638,45922,5832,-7304,-95,7896,-1
8379,2882590,172888,89755,6293,-6998,-74,8049,-1
8569,3012474,157441,30443,6784,-7539,83,8204,-1
8759,3138158,176866,1127,7459,-7569,41,8357,-1
8953,3234206,187792,52093,7687,-7433,2,8517,-1
9137,3358670,148821,-50835,8301,-7792,11,8668,-1
9327,3489598,194166,-7470,8729,-7618,106,8828,-1
9518,3591654,240769,15202,9303,-7975,202,8980,-1
9841,3718878,161781,-75682,10047,-8075,243,9252,-1
10012,3904274,226178,9122,10577,-8025,296,9405,-1
10217,4029966,243053,-11545,11028,-7978,490,9563,-1
10394,4127970,230294,-13866,11419,-7935,242,9713,-1
10658,4252606,235616,-16712,12012,-7747,169,9900,-1
10846,4406202,273867,26742,12727,-8009,640,10052,-1
11047,4507458,301597,37308,13087,-8053,332,10206,-1
11234,4615966,250007,-21943,13643,-8164,721,10359,-1
11432,4713066,297017,58352,13993,-8251,300,10513,-1
11643,4830326,297418,65437,14585,-8760,505,10667,-1
11834,4952482,240141,8646,14859,-8422,401,10821,-1
12168,5067934,271463,85280,15651,-8777,269,11075,-1
12366,5267118,290047,117805,16523,-8953,417,11227,-1
12556,5386414,316384,150070,16622,-9265,142,11385,-1
12746,5517730,269382,122321,17472,-9438,90,11536,-1
12932,5610526,287246,201378,17750,-9813,165,11690,-1
13111,5745438,321041,229049,18167,-10023,215,11843,-1
13319,5841958,291290,212618,18675,-10275,15,11996,-1
13509,5945730,291979,231510,19068,-10470,-13,12152,-1
13715,6045166,326633,238410,19563,-10619,183,12312,-1
13901,6081134,377932,225668,19969,-10765,335,12465,-1
14078,6164302,313908,128363,19760,-10482,253,12619,-1
14260,6286062,326125,135058,20614,-10577,314,12772,-1
14447,6378710,384644,194634,20781,-10913,532,12924,-1
14647,6472262,431562,238946,21078,-10669,738,13079,-1
14828,6560130,320774,146466,21424,-10686,400,13230,-1
15011,6577654,303822,125166,21380,-10484,469,13383,-1
15210,6581354,366269,168141,21810,-10734,517,13536,-1
15389,6637298,385556,114789,21832,-10893,623,13690,-1
15564,6692982,401096,142355,21535,-11009,699,13844,0
