encoder,Fz,Fx,Fy,Tx,Ty,Tz,time,turn_count
0,0,0,0,0,0,0,0,0
0,6926,-2520,-11599,141,-16,-361,151,0
0,3410,2100,-5160,148,140,-321,301,0
0,-4466,402,-5940,172,-173,-272,451,0
0,-3706,3437,-15725,-52,-151,-38,602,0
0,-2408,3596,-7757,37,55,-259,754,0
0,-11678,-2860,-10012,118,-147,-224,911,0
43,-7842,-4699,-482,236,45,-29,1071,0
149,-12134,-2650,-7113,123,-55,-9,1234,0
274,-11662,1485,-16815,76,-277,-91,1386,0
408,-15122,-2190,-13352,303,-33,-124,1538,0
562,-16212,-480,-5198,517,15,-177,1700,0
708,-9250,6470,-14893,252,-161,-253,1851,0
853,-19062,-2371,-11085,224,77,-195,2004,0
1008,-18178,8418,-13614,363,-259,-295,2160,0
1153,-25266,6014,-7778,90,-98,-121,2310,0
1298,-26050,-1212,-12191,146,-176,-305,2468,0
1426,-17914,5806,-7074,407,-248,-176,2625,0
1573,-13600,-199,-15124,289,16,-105,2777,0
1708,-29670,-751,-9936,151,-194,-110,2931,0
1842,-26110,-2119,-8954,646,-59,-124,3085,0
1985,-25050,-26,-11060,458,27,-487,3235,0
2117,-30058,-1425,-9622,522,-364,-77,3394,0
2264,-31878,3769,-16084,460,-188,-76,3546,0
2397,-27086,837,-11027,496,-225,-50,3698,0
2603,-37402,-2051,-5401,687,-142,-52,3927,0
2740,-34234,773,-9601,717,-269,-40,4078,0
2867,-37370,2296,-14604,538,-29,-96,4229,0
3002,-31836,5628,-19882,606,-163,-17,4380,0
3136,-38954,1069,-10553,577,-4,-141,4534,0
3282,-41460,5468,-7921,669,-59,-64,4686,0
3413,-37928,2062,-19079,613,40,187,4838,0
3570,-38126,-3040,-12184,575,70,-254,5002,0
3715,-43936,1323,-15413,617,-75,17,5152,0
3858,48924,9963,-9313,656,-449,-12,5305,0
4014,159688,13044,-22323,368,-938,-350,5465,0
4175,253772,24154,-13166,157,-1287,4,5617,0
4318,352570,23911,-14507,139,-1667,-187,5768,0
4460,440206,33410,-13617,214,-2075,-355,5920,0
4606,525014,27622,-18916,74,-2419,-183,6073,0
4765,602926,46032,-18378,-59,-2766,-370,6227,0
4907,677654,47603,-24506,-43,-2902,-402,6380,0
5063,762590,57822,-34563,-143,-3193,-190,6538,0
5211,827050,71594,-13979,118,-3541,-217,6687,0
5355,897254,61315,-38308,-72,-3583,-412,6851,-1
5519,992810,80431,-41564,-145,-3866,-89,7007,-1
5672,1057294,93626,-26818,-165,-3894,-128,7167,-1
5824,1129186,39319,-65502,1194,-4423,78,7329,-1
5974,1220358,64256,-33728,2561,-5068,-170,7489,-1
6128,1315874,77264,-25464,2625,-5320,-72,7640,-1
6279,1393678,92828,-9253,2747,-5550,39,7802,-1
6447,1477380,82712,-12685,3285,-5703,326,7955,-1
6581,1579346,94581,3176,3640,-6112,-117,8107,-1
6735,1666194,106720,-9003,3709,-6441,-337,8260,-1
6885,1775532,81057,-47177,4227,-6260,3,8419,-1
7036,1903874,110223,-12378,4609,-7150,-16,8579,-1
7190,1995514,97764,-8799,4940,-7241,-117,8730,-1
7356,2087508,123694,-13811,4978,-7256,178,8902,-1
7507,2201622,134394,-7732,5143,-7643,-199,9057,-1
7657,2303806,128979,2178,5445,-7678,-23,9210,-1
7796,2393778,132317,-33013,5309,-7609,-337,9362,-1
7960,2483810,140037,2569,5842,-7378,-93,9522,-1
8111,2581790,174672,30981,5942,-7419,90,9679,-1
8251,2657818,135731,17979,5675,-7714,-400,9831,-1
8413,2718030,156663,32057,5870,-6639,-255,9986,-1
8566,2843894,192538,73145,6330,-6942,-49,10150,-1
8709,2927662,193516,51279,6606,-6995,-182,10302,-1
8868,3030038,162236,-23870,6941,-7109,-117,10457,-1
9013,3137922,192132,-15978,7578,-7321,-321,10613,-1
9161,3218782,155680,-30925,7791,-7446,85,10763,-1
9322,3310830,180227,-48698,7983,-7527,279,10926,-1
9465,3440210,185268,-56157,8549,-7618,179,11080,-1
9611,3505478,178556,-58074,9013,-7893,221,11232,-1
9757,3579570,166836,-59256,9082,-7403,74,11384,-1
9904,3688522,200460,-56734,9432,-7826,258,11536,-1
10051,3790166,229363,-23293,9902,-7735,141,11690,-1
10197,3864238,241304,760,10213,-7865,215,11844,-1
10341,3964158,226734,-29223,10745,-7881,374,11995,-1
10483,4059778,195109,-62648,11054,-7690,-60,12151,-1
10649,4132330,219916,-32605,11239,-7764,-15,12307,-1
10793,4221226,256820,2304,11385,-7891,104,12460,-1
10936,4318554,264470,-18627,12036,-7783,395,12613,-1
11098,4411770,261782,-2344,12230,-8294,406,12770,-1
11245,4484750,257973,-13773,12691,-7942,588,12923,-1
11387,4582710,277444,-12260,13142,-8024,363,13076,-1
11542,4681354,289336,143,13607,-8177,377,13228,-1
11700,4765674,272502,-10860,13857,-8234,490,13381,-1
11855,4852190,267252,-14675,14290,-8412,396,13532,-1
12028,4975158,278481,17101,15169,-8531,69,13689,-1
12187,5050430,293236,53568,15146,-8710,486,13840,-1
12345,5161438,275331,45265,15663,-8622,344,13990,-1
12499,5270842,280277,40943,16094,-8555,307,14141,-1
12657,5373670,295011,110974,16124,-8675,134,14293,-1
12831,5468646,314647,126846,16839,-9065,233,14446,-1
12988,5565234,311467,120539,17452,-9415,450,14597,-1
13147,5648262,295961,159084,17712,-9442,282,14751,-1
13302,5720286,299472,146952,18285,-9695,334,14903,-1
13457,5825182,320236,139072,18650,-10136,112,15054,-1
13614,5820270,339010,98371,18540,-9807,584,15210,-1
13773,5871342,379001,66787,18827,-9764,472,15362,-1
13947,5957902,373984,52413,19250,-9832,650,15516,-1
14102,6017690,367346,50148,19455,-10151,568,15668,-1
14260,6103718,317847,50863,19771,-9854,745,15820,-1
14434,6228046,360359,86912,20258,-9847,431,15976,-1
14818,6445642,384521,137262,20758,-10033,545,16363,-1
14994,6528298,380066,130257,21641,-9961,549,16520,-1
15167,6523534,299045,100512,21722,-9902,335,16680,-1
15326,6555758,341892,116598,21863,-10002,419,16837,-1
