, -399678
6990, -105842
7000, -105859
7020, -105878
7030, -105893
7050, -105913
7060, -105930
7080, -105947
7090, -105969
7110, -105985
7130, -106003
7140, -106021
7160, -106037
7170, -106055
7190, -106074
7200, -106089
7220, -106107
7240, -106128
7250, -106141
7270, -106163
7280, -106179
7300, -106194
7310, -106214
7330, -106231
7340, -106247
7360, -106267
7380, -106285
7390, -106298
7410, -106320
7420, -106335
7440, -106353
7450, -106374
7470, -106389
7480, -106408
7500, -106426
7520, -106444
7530, -106462
7550, -106480
7560, -106495
7580, -106516
7590, -106533
7610, -106551
7630, -106574
7640, -106586
7660, -106604
7670, -106622
7690, -106637
7700, -106655
7720, -106674
7730, -106689
7750, -106707
7770, -106728
7780, -106742
7800, -106762
7810, -106780
7830, -106795
7840, -106815
7860, -106832
7870, -106849
7890, -106869
7910, -106886
7920, -106901
7940, -106922
7950, -106938
7970, -106956
7980, -106976
8000, -106992
8020, -107015
8030, -107029
8050, -107047
8060, -107066
8080, -107082
8090, -107098
8110, -107118
8120, -107134
8140, -107151
8160, -107174
8170, -107187
8190, -107206
8200, -107224
8220, -107239
8230, -107256
8250, -107275
8260, -107290
8280, -107308
8300, -107328
8310, -107343
8330, -107363
8340, -107381
8360, -107397
8370, -107418
8390, -107434
8410, -107454
8420, -107471
8440, -107488
8450, -107505
8470, -107525
8480, -107541
8500, -107559
8510, -107578
8530, -107594
8550, -107616
8560, -107630
8580, -107646
8590, -107666
8610, -107682
8620, -107697
8640, -107717
8650, -107733
8670, -107751
8690, -107774
8700, -107787
8720, -107806
8730, -107824
8750, -107839
8760, -107857
8780, -107877
8800, -107894
8810, -107911
8830, -107930
8840, -107945
8860, -107966
8870, -107984
8890, -108001
8900, -108021
8920, -108036
8940, -108058
8950, -108074
8970, -108090
8980, -108106
9000, -108125
9010, -108141
9030, -108159
9040, -108178
9060, -108193
9080, -108214
9090, -108229
9110, -108246
9120, -108265
9140, -108282
9150, -108297
9170, -108317
9190, -108336
9200, -108352
9220, -108374
9230, -108389
9250, -108407
9260, -108426
9280, -108441
9290, -108460
9310, -108478
9330, -108495
9340, -108513
9360, -108532
9370, -108548
9390, -108568
9400, -108585
9420, -108601
9430, -108621
9450, -108636
9470, -108656
9480, -108674
9500, -108688
9510, -108705
9530, -108725
9540, -108740
9560, -108758
9580, -108780
9590, -108793
9610, -108814
9620, -108830
9640, -108846
9650, -108867
9670, -108882
9680, -108898
9700, -108919
9720, -108937
9730, -108953
9750, -108975
9760, -108989
9780, -109008
9790, -109027
9810, -109043
9820, -109063
9840, -109080
9860, -109097
9870, -109114
9890, -109131
9900, -109147
9920, -109167
9930, -109184
9950, -109200
9970, -109222
9980, -109235
10000, -109255
10010, -109275
10030, -109290
10050, -109311
10060, -109330
10080, -109347
10100, -109370
10110, -109386
10130, -109406
10150, -109425
10160, -109442
10180, -109464
10200, -109482
10210, -109499
10230, -109521
10250, -109538
10260, -109558
10280, -109578
10300, -109596
10310, -109616
10330, -109632
10350, -109652
10360, -109672
10380, -109687
10400, -109708
10410, -109726
10430, -109743
10450, -109766
10460, -109782
10480, -109800
10500, -109822
10510, -109837
10530, -109858
10550, -109878
10560, -109894
10580, -109915
10600, -109934
10610, -109951
10630, -109974
10650, -109991
10660, -110011
10680, -110029
10700, -110049
10710, -110069
10730, -110084
10750, -110105
10760, -110123
10780, -110139
10800, -110162
10810, -110179
10830, -110196
10850, -110218
10860, -110233
10880, -110252
10900, -110274
10910, -110289
10930, -110309
10950, -110329
10960, -110345
10980, -110368
10990, -110384
11010, -110403
11030, -110423
11040, -110440
11060, -110461
11080, -110480
11090, -110497
11110, -110519
11130, -110536
11140, -110556
11160, -110576
11180, -110593
11190, -110614
11210, -110630
11230, -110648
11240, -110669
11260, -110684
11280, -110700
11290, -110720
11310, -110735
11330, -110755
11340, -110775
11360, -110791
11380, -110812
11390, -110830
11410, -110849
11430, -110870
11440, -110886
11460, -110906
11480, -110925
11490, -110942
11510, -110965
11530, -110982
11540, -111001
11560, -111021
11580, -111038
11590, -111059
11610, -111077
11630, -111094
11640, -111115
11660, -111132
11680, -111151
11690, -111172
11710, -111188
11730, -111208
11740, -111226
11760, -111243
11780, -111264
11790, -111281
11810, -111299
11830, -111320
11840, -111336
11860, -111357
11880, -111376
11890, -111393
11910, -111414
11930, -111432
11940, -111452
11960, -111472
11980, -111488
11990, -111507
12010, -111525
12030, -111542
12040, -111562
12060, -111579
12080, -111595
12090, -111614
12110, -111630
12130, -111649
12140, -111669
12160, -111685
12180, -111706
12190, -111724
12210, -111741
12230, -111764
12240, -111780
12260, -111799
12280, -111820
