, -198400
7180, -110303
7190, -110244
7210, -110188
7220, -110129
7240, -110069
7260, -110004
7270, -109952
7290, -209896
7300, -209838
7320, -209780
7330, -209720
7350, -209661
7370, -209596
7380, -209545
7400, -209483
7410, -209430
7430, -209373
7440, -209314
7460, -209253
7470, -209197
7490, -209140
7510, -209072
7520, -209021
7540, -208960
7550, -208907
7570, -208849
7580, -208791
7600, -208733
7610, -208674
7630, -208615
7650, -208549
7660, -208496
7680, -208435
7690, -208379
7710, -208318
7720, -208256
7740, -208198
7760, -208129
7770, -208080
7790, -208012
7800, -207956
7820, -207897
7830, -207837
7850, -207777
7860, -207714
7880, -207651
7900, -207584
7910, -207533
7930, -207467
7940, -207409
7960, -207349
7970, -207290
7990, -207226
8000, -207161
8020, -207101
8040, -207032
8050, -206977
8070, -206910
8080, -206847
8100, -206785
8110, -206722
8130, -206656
8150, -206584
8160, -206530
8180, -206460
8190, -206404
8210, -206341
8220, -206276
8240, -206211
8250, -206149
8270, -206087
8290, -206012
8300, -205956
8320, -205893
8330, -205832
8350, -205767
8360, -205704
8380, -205640
8390, -205578
8410, -205513
8430, -205444
8440, -205387
8460, -205320
8470, -205259
8490, -205197
8500, -205131
8520, -205065
8540, -204997
8550, -204942
8570, -204871
8580, -204812
8600, -204751
8610, -204689
8630, -204622
8640, -204557
8660, -204496
8680, -204425
8690, -204368
8710, -204302
8720, -204242
8740, -204178
8750, -204114
8770, -204050
8780, -203987
8800, -203923
8820, -203853
8830, -203798
8850, -203731
8860, -203664
8880, -203604
8890, -203544
8910, -203477
8930, -203404
8940, -203350
8960, -203283
8970, -203222
8990, -203157
9000, -203095
9020, -203031
9030, -202968
9050, -202905
9070, -202831
9080, -202776
9100, -202710
9110, -202649
9130, -202586
9140, -202521
9160, -202457
9170, -202396
9190, -202331
9210, -202258
9220, -202202
9240, -202138
9250, -202074
9270, -202010
9280, -201947
9300, -201886
9320, -201811
9330, -201755
9350, -201688
9360, -201627
9380, -201564
9390, -201501
9410, -201437
9420, -201372
9440, -201310
9460, -201238
9470, -201182
9490, -201113
9500, -201053
9520, -200992
9530, -200926
9550, -200860
9560, -200799
9580, -200758
9600, -200741
9610, -200803
9630, -200807
9640, -200807
9660, -200807
9670, -200807
9690, -200807
9710, -200807
9720, -200807
9740, -200807
9750, -200807
9770, -200807
9780, -200807
9800, -200807
9810, -200807
9830, -200807
9850, -200807
9860, -200807
9880, -200807
9890, -200807
9910, -200807
9920, -200807
9940, -200807
9950, -200807
9970, -200807
9990, -200807
10000, -200807
10020, -200807
10040, -200807
10050, -200807
10070, -200807
10080, -200807
10100, -200807
10120, -200807
10130, -200807
10150, -200807
10170, -200807
10180, -200807
10200, -200807
10220, -200807
10230, -200807
10250, -200807
10270, -200807
10280, -200807
10300, -200807
10320, -200807
10330, -200807
10350, -200807
10370, -200807
10380, -200807
10400, -200807
10420, -200807
10430, -200807
10450, -200807
10470, -200807
10480, -200807
10500, -200807
10520, -200807
10530, -200807
10550, -200807
10570, -200807
10580, -200807
10600, -200807
10620, -200807
10630, -200807
10650, -200807
10670, -200807
10680, -200807
10700, -200807
10720, -200807
10730, -200807
