encoder,Fz,Fx,Fy,Tx,Ty,Tz,time,turn_count
0,0,0,0,0,0,0,0,0
0,-3004,4379,-5792,142,-179,264,151,0
0,-4008,2692,-9044,-173,-249,230,307,0
0,-5632,3168,-1393,-83,-377,179,458,0
0,5460,4578,-3343,108,-12,450,612,0
0,-7458,2355,971,-77,2,191,764,0
0,4904,2753,104,108,-225,287,916,0
0,1360,5894,-1969,239,32,427,1067,0
152,-7562,4125,-10126,-1,61,269,1226,0
623,-7796,9800,-450,-323,-186,239,1385,0
1274,1692,-628,-1392,27,32,471,1535,0
1944,-1180,795,-2979,33,-185,327,1696,0
2567,3694,-4075,687,134,160,216,1851,0
3193,-6948,5666,-868,-75,-63,51,2001,0
3864,255264,-42958,10468,-4219,9556,1751,2160,0
4488,801224,-149221,40494,-12826,29528,5026,2313,0
5109,1288812,-146250,96324,-21416,48417,7477,2465,0
5835,1704164,-422711,23623,-28305,63804,9865,2627,0
6456,2240068,-276614,146756,-36967,83720,12193,2783,0
7127,2725592,-187780,233826,-45254,101505,14758,2937,0
7749,3159612,-296952,289737,-52433,117940,18247,3094,0
8428,3598084,-307403,393554,-59737,133969,23185,3247,0
9052,3983302,-355451,415599,-66302,148650,24854,3403,-1
9703,4340610,-462905,444101,-72138,161561,27880,3555,-1
10353,4686020,-606326,497186,-77842,174168,32588,3713,-1
10941,4973558,-489435,517499,-82882,184897,31197,3863,-1
11592,5190556,-58516,509498,-86378,192688,23774,4014,-1
12251,5275602,-1030477,83323,-87981,196420,23980,4166,-1
12895,5360448,-1450780,-52927,-89288,199619,25651,4318,-1
12915,5377692,-1389392,-46503,-89775,200099,25542,4477,-1
12882,5808488,-330416,235887,-97254,215780,19126,4630,-1
12521,5683016,259695,571974,-94785,210662,21281,4784,-1
11905,5393510,-129121,519304,-89891,200079,25688,4938,-1
11206,5068312,106511,569731,-84828,187926,23425,5097,-1
10631,4775224,322993,545220,-80000,176735,18603,5251,-1
9928,4369380,70867,416902,-72909,161576,17869,5407,-1
9353,3997804,-58363,348334,-66553,146819,17309,5561,-1
8714,3656724,-257582,256075,-61231,134511,17128,5725,0
8015,3221824,-697674,117537,-53490,118222,18598,5877,0
7443,2780500,-1181079,-26684,-46495,102077,21372,6030,0
6805,2352072,-1011563,-149415,-39353,85819,13121,6183,0
6165,1961884,-805135,-165953,-32760,71303,8976,6334,0
5534,1581004,-523987,-160124,-26484,56888,4220,6489,0
4960,1219072,-413891,-162011,-20386,43440,2011,6643,0
4260,849264,-189312,-138347,-14324,29805,-990,6796,0
3690,458480,-58383,-109683,-7891,15075,-2365,6949,0
3052,54988,9885,397,-618,-78,367,7102,0
1587,48524,5409,3960,-543,-506,200,7464,0
887,38384,13635,7685,-548,-622,164,7630,0
237,48118,15286,-5194,-381,-752,354,7791,0
-136,38852,11989,3834,-213,-911,278,7951,0
-87,35914,8172,4421,-444,-1193,702,8114,0
-87,37368,5269,2918,-379,-1106,173,8275,0
-87,28596,17523,-522,-488,-976,116,8436,0
-87,42084,13476,-3799,-431,-1069,136,8601,0
