encoder,Fz,Fx,Fy,Tx,Ty,Tz,time,turn_count
0,0,0,0,0,0,0,0,0
0,7004,1064,5028,-16,260,403,158,0
0,16,1465,-1382,-141,251,197,315,0
0,2608,-621,-6265,70,230,125,472,0
0,-3546,817,-5508,110,377,14,629,0
0,4680,-4019,-7338,117,587,211,786,0
0,8976,-1583,4100,218,526,150,944,0
0,4424,-6417,-1016,266,794,-42,1102,0
0,6382,3464,3697,157,564,237,1259,0
0,15300,-8067,-1764,309,662,79,1423,0
0,5664,-4583,1263,474,658,191,1581,0
0,21056,-1461,-8409,253,843,-231,1750,0
0,14738,1773,-3834,383,1006,-42,1904,0
0,24904,881,2477,159,927,208,2059,0
0,11540,-2160,-242,190,1077,219,2216,0
0,8552,1446,-151,251,1088,0,2372,0
0,14988,-2689,-7744,-162,1114,149,2528,0
0,29184,-2798,4580,271,1212,309,2685,0
0,24020,-2513,-928,89,954,237,2843,0
0,28092,2502,-2875,127,1189,4,3004,0
0,26248,2283,-9614,30,1204,329,3195,0
0,20064,-6516,-4819,1,1202,-15,3353,0
0,29220,6500,-6436,-20,1094,-339,3510,0
0,37068,1466,-9672,73,1439,24,3670,0
0,25304,1845,-8619,-243,1285,222,3824,0
0,24634,-3918,-11277,-195,1407,43,3980,0
0,33520,5768,-1669,-11,1230,333,4136,0
0,44208,4953,-7938,-268,1146,129,4291,0
0,47016,-808,-4587,-118,1312,115,4447,0
54,55716,3278,-3261,-135,1265,-61,4647,0
54,50944,8867,-5311,-344,1280,181,4802,0
54,46552,-5577,-6980,-502,1430,129,4958,0
54,52932,4201,-5293,-161,1484,49,5115,0
54,52928,4281,-6750,-341,1356,369,5270,0
54,67008,1634,-6771,-428,1330,-60,5426,0
309,55852,1066,-9482,-468,1585,-120,5584,0
968,63996,4376,3236,-344,1477,63,5740,0
1581,68098,5571,-3929,-223,1705,257,5894,0
2248,63866,-2562,-2866,-382,1445,91,6048,0
2809,64476,2775,-9979,-654,1690,30,6202,0
3405,508160,-24244,32896,-8061,18213,2251,6355,0
3952,970884,-144753,69336,-15223,35048,6161,6509,0
4533,1403896,-270034,87157,-22836,51934,8775,6666,0
5071,1832428,-289864,108901,-29906,67677,10695,6820,0
5596,2223648,-148742,188318,-36614,82683,11704,6974,0
6136,2574716,-229684,238383,-42635,95851,15180,7131,0
6616,2956084,-247425,299342,-48642,109996,17671,7285,0
7138,3289188,-178713,376637,-54284,122414,19968,7439,0
7615,3605528,-159791,441286,-60118,134300,22268,7593,0
8131,3918066,-181757,497530,-65177,145845,24428,7751,0
8639,4192784,-321334,521197,-69675,156263,28222,7906,-1
9086,4446844,-391737,547423,-73837,165779,30410,8059,-1
9615,4666156,-703712,523550,-77644,173946,34901,8222,-1
10083,4890918,-666117,534777,-81470,182756,34636,8377,-1
10500,5085258,-213194,582167,-84534,189722,28983,8531,-1
10988,5199392,-14786,566309,-86854,194210,25541,8686,-1
11277,5301268,141861,553732,-88361,197724,22156,8840,-1
11497,5398016,-112657,519482,-89890,201416,25237,8993,-1
11533,5417044,73242,574823,-90134,202009,24117,9146,-1
11533,5394320,522,538185,-90059,201524,24251,9304,-1
11533,5389484,47185,544194,-89949,201238,23826,9456,-1
11533,5393856,47141,556207,-89729,201167,24024,9609,-1
11533,5391196,67127,558521,-89809,201270,23531,9766,-1
11533,5389152,39578,548337,-89777,200877,23848,9919,-1
11533,5401008,68576,559581,-89851,201380,23945,10073,-1
11498,5659976,297711,602473,-94413,211483,21796,10226,-1
11135,5468136,-82734,579150,-91072,203968,26721,10379,-1
10660,5209038,34696,576956,-87037,194525,25217,10532,-1
10121,4983664,302257,632942,-83078,185751,22706,10686,-1
9633,4670748,310662,564593,-77650,174310,19265,10843,-1
9087,4366722,232037,489579,-72989,162531,17556,10997,-1
8591,4040822,71784,418717,-67320,150417,18056,11152,-1
8069,3703222,-202427,332315,-61559,138037,18524,11308,0
7519,3348972,-402339,240714,-55808,124797,18349,11460,0
6911,2935036,-1002590,35864,-48836,109232,20465,11614,0
6233,2534144,-910893,-35361,-42356,93955,15783,11768,0
5619,2058052,-763137,-79219,-33983,76220,11386,11922,0
5008,1670488,-438489,-66087,-27740,61814,6375,12074,0
4398,1343650,-333680,-102571,-22249,49410,2457,12225,0
3722,917916,-192041,-104064,-15117,33500,86,12380,0
3111,492800,-78601,-110553,-7670,17580,-2374,12533,0
2501,93768,12798,-9112,-941,2389,-140,12687,0
1889,60368,8996,-1311,-698,1514,-46,12840,0
1276,68022,11762,10018,-147,1205,398,12992,0
599,72548,13232,-5031,-483,1414,63,13146,0
-15,67422,12579,-3693,-538,945,61,13299,0
-629,64618,16629,-241,-456,1044,-18,13451,0
-1306,63854,11123,-838,-493,981,133,13606,0
-1601,65520,6958,-8604,-488,1029,400,13762,0
-1600,64360,4587,-2104,-526,1019,162,13929,0
-1600,87340,12897,2597,-379,759,-40,14079,0
-1600,67676,10136,-2835,-161,697,206,14231,0
-1600,75870,5425,-15045,-564,909,52,14386,0
-1600,73252,5789,2752,-484,786,170,14539,0
