Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10869325, -4784814, -31291104, 66855, 205464, -162731,0, 
0x00000000, -10865042, -4787330, -31292716, 66913, 205393, -162936,138, 
0x00000000, -10858777, -4786734, -31293388, 66790, 205428, -162796,280, 
0x00000000, -10856987, -4787542, -31296548, 66830, 205564, -162938,421, 
0x00000000, -10863576, -4788595, -31281428, 66924, 205499, -163130,566, 
0x00000000, -10864524, -4790152, -31289784, 66962, 205382, -163008,710, 
0x00000000, -10858479, -4784864, -31295872, 66745, 205437, -162964,851, 
0x00000000, -10858788, -4786581, -31277192, 66947, 205385, -162830,1000, 
0x00000000, -10863091, -4791091, -31297220, 66825, 205459, -163028,1143, 
0x00000000, -10860950, -4790850, -31301530, 66802, 205472, -162822,1289, 
0x00000000, -10860580, -4799692, -31287104, 66811, 205277, -163084,1429, 
0x00000000, -10863070, -4790675, -31281430, 66842, 205328, -162906,1570, 
0x00000000, -10857522, -4783388, -31287176, 67178, 205339, -162937,1712, 
0x00000000, -10858191, -4784440, -31286820, 67030, 205137, -162687,1857, 
0x00000000, -10861156, -4786177, -31290736, 66924, 205445, -162742,2005, 
0x00000000, -10858262, -4781927, -31285548, 67161, 205371, -162693,2148, 
0x00000000, -10860044, -4781870, -31295128, 67050, 205138, -162878,2298, 
0x00000000, -10862740, -4780063, -31283820, 66863, 205278, -162739,2440, 
0x00000000, -10865053, -4788475, -31274202, 66675, 205221, -162851,2581, 
0x00000000, -10861429, -4782819, -31283478, 66918, 205370, -162909,2730, 
0x00000000, -10856463, -4784490, -31280252, 66989, 205434, -162903,2873, 
0x00000000, -10855455, -4782787, -31283664, 66828, 205292, -162529,3025, 
0x00000000, -10858576, -4777810, -31295240, 67181, 205027, -162788,3170, 
0x00000000, -10853904, -4789746, -31280068, 66969, 205223, -163020,3315, 
0x00000000, -10865722, -4779200, -31293722, 66848, 205203, -162850,3456, 
0x00000000, -10863214, -4773987, -31284932, 67007, 205417, -162951,3601, 
0x00000000, -10857124, -4789516, -31287844, 66846, 205391, -162607,3746, 
0x00000000, -10856699, -4784074, -31277518, 66824, 205092, -162511,3894, 
0x00000000, -10859190, -4785855, -31282664, 66825, 205266, -162726,4035, 
0x00000000, -10853586, -4785111, -31271168, 66760, 205257, -162664,4177, 
0x00000000, -10854946, -4786282, -31282708, 66726, 205036, -163080,4324, 
0x00000000, -10865359, -4782602, -31276496, 66733, 205175, -162714,4468, 
0x00000000, -10867172, -4789517, -31276676, 66731, 205179, -162863,4612, 
0x00000000, -10863316, -4783676, -31275282, 66891, 205005, -162957,4754, 
0x00000000, -10857974, -4781908, -31266762, 67015, 205085, -162748,4896, 
0x00000000, -10857723, -4789927, -31266558, 66639, 205106, -162990,5047, 
0x00000000, -10863069, -4786234, -31270684, 66946, 205152, -162647,5192, 
0x00000000, -10873838, -4780023, -31303892, 66718, 205076, -162881,5336, 
0x00000000, -10841594, -4781599, -31451832, 66005, 203418, -163072,5488, 
0x00000000, -10836032, -4789006, -31598584, 65436, 202619, -163132,5628, 
0x00000000, -10849503, -4782164, -31733044, 64909, 201722, -163060,5772, 
0x00000000, -10821126, -4805927, -31842282, 64657, 200810, -163277,5917, 
0x00000000, -10830170, -4779832, -31952712, 64245, 200126, -163241,6056, 
0x00000000, -10814443, -4799971, -32051988, 63866, 199487, -163164,6204, 
0x00000000, -10809922, -4788032, -32149606, 63223, 198455, -163585,6354, 
0x00000000, -10806366, -4829360, -32277080, 64603, 197113, -162919,6500, 
0x00000000, -10810386, -4814428, -32405720, 64828, 196250, -162935,6644, 
0x00000000, -10788030, -4812527, -32495940, 64632, 195687, -163114,6789, 
0x00000000, -10776376, -4787059, -32603764, 65013, 195076, -163275,6934, 
0x00000000, -10789417, -4783852, -32704742, 64987, 194209, -163053,7079, 
0x00000000, -10784428, -4819803, -32827764, 64471, 193445, -163091,7221, 
0x00000000, -10779527, -4810614, -32950762, 64764, 192798, -163116,7371, 
0x00000000, -10775901, -4801941, -33096240, 64670, 191956, -163006,7514, 
0x00000000, -10772306, -4838802, -33209532, 64571, 191379, -163013,7654, 
0x00000000, -10777898, -4818071, -33342002, 64667, 190538, -163272,7797, 
0x00000000, -10762924, -4839166, -33460990, 64283, 189899, -163098,7943, 
0x00000000, -10755302, -4814206, -33589296, 64208, 189227, -163473,8092, 
0x00000000, -10757083, -4786163, -33723912, 64108, 189025, -163449,8238, 
0x00000000, -10741390, -4745176, -33802772, 64022, 189495, -163780,8379, 
0x00000000, -10741429, -4810540, -33908712, 64224, 189238, -163548,8521, 
0x00000000, -10704515, -4739474, -34060360, 64050, 188209, -163868,8670, 
0x00000000, -10733408, -4756529, -34191180, 63983, 187720, -164038,8819, 
0x00000000, -10706925, -4740940, -34323912, 63767, 186883, -164085,8963, 
0x00000000, -10660529, -4749413, -34456440, 63538, 186213, -164224,9112, 
0x00000000, -10683855, -4826271, -34572276, 63312, 185933, -163597,9257, 
0x00000000, -10614697, -4779394, -34735340, 63132, 184982, -163928,9403, 
0x00000000, -10660812, -4853625, -34866444, 62857, 184425, -163436,9554, 
0x00000000, -10575094, -4761285, -35040876, 62883, 183508, -164066,9697, 
0x00000000, -10628678, -4843449, -35162448, 62789, 182734, -163550,9842, 
0x00000000, -10564649, -4801250, -35306948, 62638, 181891, -164230,9989, 
0x00000000, -10580235, -4842794, -35451716, 62908, 181115, -163472,10142, 
0x00000000, -10637147, -4931425, -35579436, 63253, 180540, -163236,10285, 
0x00000000, -10622189, -4915683, -35714344, 63477, 179992, -163406,10427, 
0x00000000, -10526563, -4837147, -35887752, 63083, 179430, -163821,10578, 
0x00000000, -10529264, -4889357, -35998556, 63418, 178605, -163640,10723, 
0x00000000, -10518433, -4860661, -36137512, 63736, 177920, -163551,10871, 
0x00000000, -10511394, -4866735, -36267344, 63805, 177072, -163636,11018, 
0x00000000, -10536938, -4901971, -36394916, 63868, 176823, -163493,11162, 
0x00000000, -10460743, -4806545, -36541380, 64037, 176008, -163919,11306, 
0x00000000, -10471822, -4786467, -36686464, 63851, 175229, -164221,11453, 
0x00000000, -10570170, -4883636, -36821412, 64300, 175033, -163482,11603, 
0x00000000, -10457862, -4738881, -36989248, 64408, 173827, -164320,11748, 
0x00000000, -10422351, -4700085, -37145228, 64120, 172914, -164984,11890, 
0x00000000, -10534647, -4797201, -37267360, 64144, 172709, -164315,12043, 
0x00000000, -10447526, -4671900, -37423708, 64368, 171373, -164709,12189, 
0x00000000, -10395964, -4628723, -37510856, 64233, 170877, -165253,12331, 
0x00000000, -10608633, -4820769, -37607096, 64151, 171432, -164175,12478, 
0x00000000, -10474670, -4661956, -37575672, 63845, 171043, -165141,12620, 
0x00000000, -10439532, -4630872, -37533080, 63989, 171625, -165126,12772, 
0x00000000, -10596416, -4795775, -37489984, 63755, 172073, -164161,12918, 
0x00000000, -10546667, -4661209, -37487016, 63732, 172318, -165007,13057, 
0x00000000, -10556908, -4626455, -37490024, 63621, 171969, -165088,13203, 
0x00000000, -10563922, -4597427, -37505160, 63790, 171865, -165592,13356, 
0x00000000, -10564133, -4587767, -37501536, 63705, 171845, -165518,13497, 
0x00000000, -10570378, -4581617, -37504400, 63909, 171902, -165311,13645, 
