encoder,Fz,Fx,Fy,Tx,Ty,Tz,time,turn_count
0,0,0,0,0,0,0,0,0
0,-560,2477,2603,-246,-139,-14,151,0
0,-9884,102,-5793,-236,6,174,302,0
0,-1072,-671,-5281,51,-226,-122,452,0
0,-15312,-4753,-4851,63,-30,3,603,0
0,-7346,-1854,1391,30,-158,106,757,0
0,-8120,-7747,714,315,117,-165,918,0
0,-19360,-10979,4206,288,141,-254,1070,0
0,-20764,-2917,2947,305,83,-165,1222,0
0,-15638,-8796,-1261,73,202,-109,1372,0
0,-22276,-6623,-376,86,358,19,1542,0
0,-19300,-255,-3338,89,-88,-383,1693,0
0,-26152,-4472,-6441,204,373,16,1843,0
0,-22150,-1039,2318,190,256,-252,1999,0
0,-22532,-9308,-1977,293,144,-341,2153,0
0,-22888,-4026,-4081,278,217,-81,2303,0
0,-15096,-10070,4400,292,363,-29,2456,0
260,-21928,-4746,-1209,486,255,-244,2606,0
693,-14404,-7500,5609,272,255,-16,2757,0
1086,-21738,-1528,-6354,318,406,-179,2908,0
1542,-13816,-9326,7522,241,317,-403,3059,0
1958,-15354,-831,2962,473,359,-203,3212,0
2378,-7248,976,5876,499,306,-254,3364,0
2839,-15036,796,5648,257,445,-168,3522,0
3256,-12544,-13009,-1244,540,639,-366,3672,0
3676,131770,-14270,7776,-2386,6271,317,3826,0
4135,391752,-27491,43339,-7048,15781,2140,3980,0
4557,648124,-14105,81581,-11640,25546,3533,4132,0
4994,874986,80693,132922,-15581,33794,3729,4286,0
5458,1097154,89444,148063,-19491,41706,3845,4439,0
5893,1292870,-5062,112091,-23194,49366,4908,4592,0
6323,1519796,73544,156820,-26859,57238,5334,4744,0
6799,1727640,114697,192057,-30628,65011,5797,4897,0
7219,1937456,150272,232250,-34162,73128,6715,5053,-1
7666,2132268,274101,289137,-37964,80205,7076,5207,-1
8104,2333224,409502,359585,-41251,87386,7379,5361,-1
8560,2496760,452556,406730,-44229,93687,8115,5515,-1
9010,2624220,464812,390850,-46623,98408,7412,5666,-1
9408,2715394,561318,352970,-48100,101629,4711,5820,-1
9849,2764052,81468,197248,-48845,103765,6929,5972,-1
10245,2675156,-1389667,-304200,-47336,100824,14247,6124,-1
10651,2720108,-1355612,-324470,-47994,102065,13088,6276,-1
10651,2727902,-1234630,-290763,-48242,102839,12114,6427,-1
10651,2731532,-1240267,-283602,-48393,103028,12495,6589,-1
10651,3174412,-12720,211637,-56189,118513,9762,6739,-1
10160,3179380,410722,501154,-56268,118801,13515,6890,-1
9589,3005948,127397,411747,-53183,112482,14394,7040,-1
8949,2760368,-335578,271630,-48767,103312,17320,7192,-1
8338,2476388,-849315,86437,-43839,93166,19751,7345,-1
7704,2169836,-1193466,-85298,-38454,81543,19013,7497,-1
7069,1873884,-1110624,-142811,-33119,70708,15159,7653,-1
6495,1653890,-978710,-153616,-29205,62139,12336,7804,0
5856,1439448,-727981,-97585,-25601,54568,9552,7955,0
5214,1114792,-606598,-118966,-19781,42904,6570,8111,0
4582,878368,-12391,-27723,-15922,33832,-1025,8261,0
4008,613124,-176166,-129060,-11023,24100,-2098,8414,0
3309,316282,-155716,-119288,-5541,12574,-2409,8567,0
2729,632,-11193,9426,-73,1315,-204,8724,0
2102,-10112,-3008,7796,248,582,-180,8875,0
1463,-30964,-6255,5088,348,473,-304,9029,0
832,-18702,-3769,4627,406,514,-345,9186,0
209,-17744,-13315,11977,428,639,-259,9338,0
41,-19884,6056,1945,303,254,90,9491,0
41,-13870,-8306,10061,269,360,-235,9646,0
41,-10028,-4964,2797,323,296,-66,9799,0
41,-17252,-4570,9531,372,396,-409,9952,0
41,-10926,-1663,7799,399,400,-192,10106,0
41,-14256,-468,4146,355,359,-147,10260,0
