Status, Fx, Fy, Fz, Tx, Ty, Tz, Time
 0x00000000, -12169052, -5121218, -27439520, 77983, 185862, -264585,26127.8508301
 0x00000000, -12166249, -5121302, -27445552, 77714, 186167, -264444,26203.657959
 0x00000000, -12162622, -5123848, -27434292, 77641, 185739, -264238,26280.4777832
 0x00000000, -12169468, -5124255, -27453796, 77775, 186077, -264214,26358.6330566
 0x00000000, -12169976, -5127266, -27449332, 77746, 186210, -264644,26434.986084
 0x00000000, -12180558, -5126574, -27429820, 78096, 186187, -264516,26510.5571289
 0x00000000, -12163888, -5128961, -27438812, 77642, 185750, -264310,26586.361084
26660.4870605
 0x00000000, -12168292, -5124285, -27450624, 77771, 185883, -264372,26736.5410156
 0x00000000, -12154524, -5127113, -27476786, 77863, 186008, -264359,26812.5720215
 0x00000000, -12175138, -5124455, -27448162, 77919, 186152, -264426,26889.1811523
 0x00000000, -12160903, -5118817, -27448290, 77890, 186005, -264223,26965.5339355
 0x00000000, -12163209, 
