Status, Fx, Fy, Fz, Tx, Ty, Tz, Time
 0x00000000, -12157502, -5119232, -27486560, 77453, 186434, -264695,6080.00195312
 0x00000000, -12168059, -5122204, -27502080, 77324, 186433, -264414,6156.07983398
 0x00000000, -12166717, -5120925, -27502748, 77727, 186554, -264402,6232.06298828
 0x00000000, -12163962, -5125578, -27489528, 77711, 186398, -264740,6308.12084961
 0x00000000, -12168806, -5119558, -27490952, 77646, 186242, -264408,6384.08789062
 0x00000000, -12168031, -5122743, -27488220, 77639, 186441, -264287,6462.46582031
 0x00000000, -12161547, -5126300, -27494944, 77680, 186535, -264432,6538.79199219
 0x00000000, -12164729, -5120703, -27502016, 77546, 186367, -264291,6615.59179688
 0x00000000, -12167362, -5127705, -27490546, 77484, 186330, -264340,6691.62084961
 0x00000000, -12178940, -5122574, -27469640, 77536, 186637, -264410,6767.75097656
 0x00000000, -12160689, -5126083, -27497982, 77392, 186488, -264375,6843.94897461
 0x00000000, -12164104, -5127101, -27499256, 77521, 186414, -264490,6919.77001953
 0x00000000, -12166236, -5123658, -27485852, 77388, 186339, -264503,6996.53491211
 0x00000000, -12176445, -5126239, -27492178, 77539, 186537, -264386,7073.13500977
 0x00000000, -12165224, -5120342, -27495180, 77471, 186385, -264497,7149.12792969
 0x00000000, -12163992, -5121621, -27498028, 77578, 186229, -264518,7224.94091797
 0x00000000, -12167682, -5116487, -27501684, 77629, 186356, -264319,7300.74194336
 0x00000000, -12173337, -5128840, -27498378, 77796, 186417, -264370,7376.24804688
 0x00000000, -12166202, -5125664, -27480364, 77418, 186329, -264469,7452.0078125
 0x00000000, -12167221, -5118756, -27500316, 77624, 186250, -264545,7529.57592773
 0x00000000, -12163179, -5127148, -27509156, 77452, 186285, -264659,7606.06201172
 0x00000000, -12163038, -5119985, -27487504, 77510, 186197, -264340,7681.67602539
 0x00000000, -12162847, -5129102, -27480816, 77436, 186194, -264409,7757.83300781
 0x00000000, -12162585, -5127351, -27493564, 77610, 186333, -264418,7833.69384766
 0x00000000, -12170702, -5116539, -27490774, 77703, 186358, -264288,7909.46191406
 0x00000000, -12164716, -5124008, -27488446, 77444, 186491, -264281,7985.00610352
 0x00000000, -12165085, -5119099, -27503400, 77522, 186535, -264361,8061.54785156
 0x00000000, -12176445, -5118020, -27487688, 77573, 186524, -264381,8137.60888672
 0x00000000, -12164899, -5129658, -27491336, 77569, 186365, -264554,8214.63598633
 0x00000000, -12156326, -5128070, -27496744, 77482, 186159, -264561,8290.64697266
 0x00000000, -12199332, -5109523, -27501300, 77572, 186631, -264399,8366.43188477
 0x00000000, -12161396, -5123870, -27487926, 77361, 186286, -264194,8443.27392578
 0x00000000, -12145958, -5130874, -27511744, 77382, 186292, -264483,8520.15795898
 0x00000000, -12165280, -5123974, -27482744, 77397, 186521, -264500,8597.84082031
 0x00000000, -12165298, -5117911, -27485172, 77579, 186216, -264732,8684.90307617
 0x00000000, -12168946, -5123685, -27492484, 77578, 186550, -264439,8760.70092773
 0x00000000, -12169632, -5125938, -27491768, 77421, 186245, -264510,8837.05981445
 0x00000000, -12161625, -5120504, -27484236, 77535, 186538, -264318,8912.64501953
 0x00000000, -12168381, -5132540, -27489616, 77323, 186502, -264328,8988.37988281
 0x00000000, -12160516, -5107862, -27498780, 77725, 186289, -264491,9064.81176758
 0x00000000, -12169056, -5130197, -27489388, 77362, 186419, -264222,9140.77612305
 0x00000000, -12165051, -5119772, -27507476, 77474, 186363, -264341,9216.77490234
 0x00000000, -12162305, -5117221, -27473838, 77520, 186175, -264251,9292.89086914
 0x00000000, -12182283, -5139862, -27534792, 77386, 186618, -264380,9368.38183594
 0x00000000, -12165372, -5124693, -27515016, 77511, 186384, -264650,9444.45507812
 0x00000000, -12164320, -5124085, -27491388, 77276, 186524, -264333,9520.2668457
 0x00000000, -12159523, -5116717, -27495648, 77626, 186264, -264556,9598.33300781
 0x00000000, -12162836, -5120308, -27484496, 77463, 186338, -264113,9675.70605469
 0x00000000, -12172430, -5125430, -27481332, 77407, 186270, -264582,9751.48608398
 0x00000000, -12163483, -5123958, -27495998, 77307, 186265, -264207,9827.52294922
 0x00000000, -12162067, -5120587, -27490952, 77409, 186470, -264428,9903.82299805
 0x00000000, -12167833, -5122457, -27490732, 77512, 186557, -264506,9980.4609375
 0x00000000, -12156842, -5112760, -27488648, 77591, 186050, -264152,10056.4150391
 0x00000000, -12172293, -5118959, -27490556, 77460, 186189, -264375,10132.7580566
 0x00000000, -12159487, -5116386, -27482992, 77246, 186409, -264413,10209.9770508
 0x00000000, -12167722, -5121780, -27483000, 77521, 186430, -264229,10285.6630859
 0x00000000, -12162693, -5127279, -27494888, 77253, 186423, -264526,10361.4460449
 0x00000000, -12173062, -5124303, -27499336, 77342, 186369, -264479,10437.8959961
 0x00000000, -12159847, -5122338, -27498460, 77343, 186226, -264330,10513.5200195
 0x00000000, -12163851, -5136462, -27492184, 77080, 186318, -264370,10589.0349121
 0x00000000, -12170218, -5118894, -27476368, 77537, 186420, -264732,10668.1660156
 0x00000000, -12161542, -5129333, -27500728, 77387, 186343, -264527,10743.7629395
 0x00000000, -12164984, -5121219, -27490220, 77347, 186523, -264393,10820.2458496
 0x00000000, -12170024, -5128501, -27488568, 77281, 186470, -264495,10896.3637695
 0x00000000, -12166873, -5116626, -27490220, 77357, 186298, -264255,10972.1660156
 0x00000000, -12167096, -5121401, -27500282, 77473, 186223, -264431,11047.9038086
 0x00000000, -12163593, -5121927, -27497240, 77106, 186170, -264340,11123.4558105
 0x00000000, -12159529, -5132506, -27497748, 77312, 186433, -264609,11199.2929688
 0x00000000, -12157192, -5128467, -27491536, 77339, 186526, -264229,11275.3759766
