Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10435462, -5361776, -37626672, 61281, 201108, -154071,14197, 
0x00000000, -10235340, -5203630, -37881560, 61401, 201058, -153894,14339, 
0x00000000, -10426829, -5347550, -38026668, 61853, 202029, -154013,14484, 
0x00000000, -10398483, -5265978, -38155272, 61739, 202063, -154109,14625, 
0x00000000, -10317733, -5112454, -38183080, 61607, 202384, -154001,14772, 
0x00000000, -10216910, -5306608, -37822020, 62056, 202408, -153879,14915, 
0x00000000, -10216953, -5171958, -38126308, 61529, 202373, -154014,15058, 
0x00000000, -10181036, -5093412, -38151828, 61646, 202448, -153957,15200, 
0x00000000, -10193766, -5110461, -38161992, 61422, 202425, -153908,15350, 
0x00000000, -10204199, -5100122, -38188964, 61583, 202605, -154111,15500, 
0x00000000, -10214327, -5017286, -38284204, 61525, 202638, -154140,15650, 
0x00000000, -10253470, -4928376, -38466660, 61555, 202393, -153993,15801, 
0x00000000, -10309311, -4883884, -38575380, 61371, 202265, -154125,15946, 
0x00000000, -10399490, -4818865, -38736552, 61193, 202393, -154319,16088, 
0x00000000, -10544668, -4848771, -38825672, 61159, 202423, -154339,16233, 
0x00000000, -10704182, -4851212, -38910572, 61237, 202513, -154274,16376, 
0x00000000, -10865672, -4844254, -39009524, 61011, 202546, -154075,16522, 
0x00000000, -11021631, -4865612, -39089292, 60828, 202353, -154249,16671, 
0x00000000, -11208384, -4903954, -39146484, 60225, 202207, -154226,16813, 
0x00000000, -11398798, -4956856, -39198016, 60237, 202046, -154092,16960, 
0x00000000, -11555996, -5047801, -39177536, 60055, 201702, -153624,17103, 
0x00000000, -11707054, -5097628, -39155592, 60096, 201689, -153562,17246, 
0x00000000, -11846551, -5110914, -39155388, 60158, 201668, -153352,17391, 
0x00000000, -11529375, -4721018, -39077436, 59715, 200694, -153573,17538, 
0x00000000, -11589019, -4661060, -39048324, 59757, 200272, -153591,17681, 
0x00000000, -11641247, -4618986, -39060884, 59327, 200034, -153459,17826, 
0x00000000, -11655646, -4549055, -39059460, 59633, 199936, -153583,17972, 
0x00000000, -11327912, -4576956, -39056224, 56646, 195897, -153775,18116, 
0x00000000, -11569913, -4549370, -39122736, 56520, 195944, -153698,18260, 
0x00000000, -11532542, -4702077, -39108756, 54161, 193391, -153608,18402, 
0x00000000, -11679915, -4721528, -39146840, 54402, 193130, -152868,18553, 
0x00000000, -11649346, -4607596, -39128544, 54041, 193173, -153177,18698, 
0x00000000, -11383230, -4611018, -39119788, 51364, 189570, -153870,18845, 
0x00000000, -11657137, -4794314, -39155728, 51375, 189671, -152962,18991, 
0x00000000, -11684317, -4792150, -39129808, 51588, 189449, -152860,19142, 
0x00000000, -11695585, -4767774, -39048928, 51738, 189252, -152852,19285, 
0x00000000, -11686352, -4767716, -38946580, 51952, 189344, -152866,19427, 
0x00000000, -11657927, -4741964, -38829124, 52067, 189241, -152599,19573, 
0x00000000, -11666304, -4742471, -38756768, 51859, 189183, -153064,19720, 
0x00000000, -11676478, -4741915, -38730136, 52438, 189036, -153021,19871, 
0x00000000, -11687321, -4727041, -38670968, 52222, 188881, -152719,20018, 
0x00000000, -11588105, -4579569, -38636768, 52378, 188504, -153494,20171, 
0x00000000, -11391432, -4628354, -38544020, 49961, 185540, -153648,20313, 
0x00000000, -11548145, -4750769, -38495640, 49968, 185569, -152841,20455, 
0x00000000, -11614884, -4824215, -38419296, 50038, 185868, -152550,20600, 
0x00000000, -11617600, -4818235, -38384048, 50431, 185490, -152514,20747, 
0x00000000, -11615459, -4870077, -38368032, 50441, 185766, -152418,20896, 
0x00000000, -11597053, -4904638, -38333608, 50495, 185695, -152282,21040, 
0x00000000, -11607885, -4891640, -38329344, 50522, 185668, -152258,21187, 
0x00000000, -11543764, -4883028, -38281216, 50493, 185789, -152766,21331, 
0x00000000, -11472770, -4806537, -38198860, 50805, 185816, -152794,21474, 
0x00000000, -11428182, -4751046, -38115444, 50745, 186055, -153250,21618, 
0x00000000, -11418660, -4706924, -38039492, 50723, 186428, -153224,21761, 
0x00000000, -11448754, -4766443, -37974080, 50877, 186378, -152784,21931, 
0x00000000, -11557767, -4932463, -37860952, 51103, 186350, -152348,22075, 
0x00000000, -11629036, -5054283, -37780420, 51151, 186656, -151707,22222, 
0x00000000, -11540843, -4959715, -37694256, 51452, 186603, -152166,22371, 
