encoder,Fz,Fx,Fy,Tx,Ty,Tz,time,turn_count
0,0,0,0,0,0,0,0,0
0,1020,-7069,5448,48,-31,-11,152,0
0,-2928,-5421,89,-186,-286,-90,299,0
0,-3066,-6592,13021,10,-331,-431,441,0
18,-4108,-3191,1544,217,30,-293,582,0
79,-11366,-7294,6540,111,-276,46,724,0
157,1546,-6023,7566,-144,-343,55,866,0
301,-8706,-5399,99,-223,-18,-43,1029,0
479,-11422,-8445,10541,65,88,-111,1176,0
668,-13468,-6589,1851,130,-99,124,1318,0
878,-18496,-8408,1055,84,18,-151,1459,0
1074,-6780,-4770,-574,128,-107,23,1606,0
1281,-16066,-1245,2541,50,-223,-369,1751,0
1481,-14232,-3471,6727,258,-136,-97,1892,0
1680,-10144,-4038,4844,86,-229,-73,2034,0
1898,-11568,-4660,3777,147,-217,-113,2177,0
2118,-10004,-6004,3793,130,-123,-14,2316,0
2309,-9270,-9690,7036,232,-77,-135,2456,0
2495,-15872,-8429,-1789,-1,-47,28,2599,0
2703,-15286,-6701,7479,123,-35,-19,2742,0
2912,-6946,-6538,3603,172,-234,-172,2889,0
3098,-7308,1746,6090,67,-399,-14,3043,0
3215,-6676,-7683,3557,192,-371,-72,3197,0
3322,-16804,-8776,384,129,-42,-108,3346,0
3401,-18282,-7067,8626,-44,-195,-131,3488,0
3403,-24538,-9740,1832,-38,-282,-81,3644,0
3404,-24296,-15035,6886,336,-111,-3,3792,0
3478,-18678,-12098,3805,221,-186,-215,3934,0
3595,-26622,-9974,4248,177,-265,-159,4078,0
3708,-23152,-14179,-3924,224,-68,-328,4220,0
3830,-24418,-3781,12178,266,-173,10,4361,0
3931,-30532,-12237,10166,177,-22,-117,4502,0
4047,-20486,-6029,7714,230,-426,-193,4659,0
4160,-27092,-13147,10666,285,-138,158,4810,0
4262,-29392,-2162,3615,229,-275,-176,4954,0
4376,-30972,-12299,10553,317,-153,-280,5096,0
4486,-21084,-2677,12265,316,-169,-78,5249,0
4615,-32828,-9129,7698,172,-169,127,5397,0
4728,7108,-2096,6585,279,91,-25,5544,0
4859,100348,-1571,3681,196,-202,58,5698,0
4982,170856,4734,14487,600,-67,-60,5847,0
5093,241808,8772,12951,588,111,-1,5988,0
5220,328368,7781,21350,696,26,-219,6143,0
5383,419922,14694,31229,893,-50,52,6291,0
5548,469196,11684,31536,783,208,242,6433,0
5733,430084,-28840,20187,178,616,-251,6586,0
5886,565664,8244,39841,-97,592,112,6730,0
6054,652936,20858,47216,156,619,-100,6876,0
6206,744560,34580,39056,-13,694,-150,7018,0
6390,837194,31632,26140,-467,1260,-41,7169,0
6542,877736,25563,20893,881,1336,-66,7313,0
6713,966410,41121,16599,921,1262,-77,7456,0
6866,1052326,55568,21989,965,1572,10,7598,0
7037,1133212,58696,27183,1297,1400,131,7741,0
7219,1167872,23197,36769,857,2267,129,7903,0
7417,1268984,68780,25029,1087,2758,-152,8047,0
7580,1358808,56748,21630,1120,2936,-60,8191,0
7774,1476824,63834,28413,1636,3423,-16,8336,0
7949,1476546,-9553,-22180,905,4181,-265,8478,0
8143,1619380,83620,46398,1155,4620,169,8624,0
8339,1715240,82136,42659,1099,4537,-154,8768,0
8521,1819566,57429,44991,1516,4894,-284,8910,0
8714,1947052,55555,35589,1648,5505,-303,9052,0
8910,2065384,91639,32117,1880,5795,-41,9197,0
9099,2177610,78165,12090,1900,6216,20,9340,0
9310,2306328,80278,17710,1935,7003,71,9491,0
9495,2426220,78613,25078,2292,7772,-354,9634,0
9724,2557900,83549,41480,2235,8586,220,9780,0
9915,2685028,118908,47794,2337,8782,-12,9923,-1
10110,2790100,121783,45989,2501,9309,166,10066,-1
10305,2928880,113565,49172,3249,9975,135,10212,-1
10516,3054836,131131,55528,3485,10597,-42,10354,-1
10724,3190460,158695,43546,4384,11064,14,10495,-1
10910,3315348,159988,31185,4816,11600,41,10637,-1
11119,3433740,215477,38509,5178,11854,232,10784,-1
11328,3564848,213877,18786,5813,12554,210,10928,-1
11536,3683312,221182,-1174,5485,12748,203,11075,-1
11725,3807460,210713,-28294,5772,13772,8,11219,-1
11932,3908564,232521,-40215,6078,14313,-68,11374,-1
12152,4043572,234501,-32789,6224,14917,-37,11517,-1
12339,4159388,252973,-21789,6441,15590,-165,11659,-1
12548,4271740,260027,-43701,6326,15869,-14,11802,-1
12735,4410560,271014,-14062,6571,16530,69,11944,-1
12949,4509780,285192,-14729,6896,17271,158,12089,-1
13174,4634972,290175,-51595,7191,18105,169,12231,-1
13398,4747324,281744,-58587,7040,18490,-7,12380,-1
13608,4896424,306272,-65532,7320,18908,23,12523,-1
13845,5005256,320044,11765,7721,19553,235,12670,-1
