Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10732935, -4537088, -30738082, 64444, 204733, -153775,11948, 
0x00000000, -10733754, -4530156, -30746740, 64198, 204772, -153719,12097, 
0x00000000, -10730790, -4515583, -30849306, 64837, 205439, -153556,12237, 
0x00000000, -10716252, -4539998, -30912450, 64893, 206031, -153858,12381, 
0x00000000, -10710038, -4518901, -30979420, 65133, 206006, -153654,12523, 
0x00000000, -10711393, -4528879, -31044236, 65295, 206755, -153829,12664, 
0x00000000, -10723196, -4524136, -31073770, 65111, 206844, -153883,12806, 
0x00000000, -10712087, -4522120, -31119432, 65561, 207398, -153794,12946, 
0x00000000, -10712549, -4513707, -31177424, 65536, 207627, -153629,13091, 
0x00000000, -10707301, -4504029, -31255584, 65578, 208277, -153563,13233, 
0x00000000, -10710501, -4505761, -31284560, 65368, 208626, -153487,13375, 
0x00000000, -10726154, -4528990, -31243690, 64686, 208581, -153741,13518, 
0x00000000, -10719761, -4519611, -31333204, 64757, 208941, -153815,13664, 
0x00000000, -10707378, -4513023, -31413612, 64852, 209775, -153676,13805, 
0x00000000, -10708940, -4527541, -31488566, 64627, 210510, -153758,13947, 
0x00000000, -10688642, -4511189, -31571388, 65092, 210907, -153527,14094, 
0x00000000, -10690536, -4507033, -31652968, 64673, 211385, -153672,14236, 
0x00000000, -10724802, -4522269, -31661840, 65641, 211352, -153368,14386, 
0x00000000, -10695249, -4526914, -31730342, 66061, 211743, -153487,14528, 
0x00000000, -10682478, -4518165, -31806664, 65997, 212174, -153802,14677, 
0x00000000, -10672239, -4521050, -31878836, 66428, 212825, -153285,14820, 
0x00000000, -10681196, -4525108, -31949272, 66543, 213302, -153638,14968, 
0x00000000, -10693704, -4517681, -32037316, 67099, 213723, -153504,15114, 
0x00000000, -10695227, -4515978, -32100756, 67103, 214219, -153663,15257, 
0x00000000, -10679230, -4520401, -32145456, 67450, 214619, -153575,15398, 
0x00000000, -10686443, -4505975, -32210816, 67577, 214914, -153203,15541, 
0x00000000, -10695295, -4490712, -32268984, 67324, 215683, -153346,15682, 
0x00000000, -10661606, -4496131, -32335494, 67714, 215996, -153231,15823, 
0x00000000, -10669870, -4497572, -32398876, 67632, 216841, -153479,15964, 
0x00000000, -10677576, -4493050, -32466016, 67415, 217250, -153290,16107, 
0x00000000, -10657600, -4481914, -32535292, 67469, 217634, -153520,16250, 
0x00000000, -10667957, -4481673, -32593812, 67676, 218185, -153514,16392, 
0x00000000, -10641539, -4504589, -32644148, 67649, 218492, -153105,16534, 
0x00000000, -10646185, -4501575, -32692468, 68008, 218795, -153317,16674, 
