, -199455
7050, -111154
7070, -111188
7080, -111217
7100, -111249
7110, -111283
7130, -111312
7150, -111348
7160, -111377
7180, -111408
7190, -111440
7210, -111473
7220, -111504
7240, -111537
7260, -111574
7270, -111599
7290, -111633
7300, -111659
7320, -111693
7330, -111722
7350, -111753
7360, -111788
7380, -111817
7400, -111852
7410, -111881
7430, -111913
7440, -111944
7460, -111978
7470, -112008
7490, -112041
7500, -112071
7520, -112101
7540, -112137
7550, -112163
7570, -112197
7580, -112226
7600, -112256
7610, -112288
7630, -112317
7650, -112356
7660, -112386
7680, -112418
7690, -112447
7710, -112480
7720, -112509
7740, -112542
7750, -112574
7770, -112604
7790, -112640
7800, -112664
7820, -112698
7830, -112726
7850, -112758
7860, -112792
7880, -112821
7890, -112852
7910, -112885
7930, -112917
7940, -112947
7960, -112984
7970, -113013
7990, -113046
8000, -113078
8020, -113106
8040, -113143
8050, -113168
8070, -113203
8080, -113231
8100, -113261
8110, -113293
8130, -113322
8140, -113354
8160, -113390
8180, -113425
8190, -113451
8210, -113488
8220, -113515
8240, -113547
8250, -113581
8270, -113610
8280, -113641
8300, -113671
8320, -113703
8330, -113730
8350, -113763
8360, -113796
8380, -113827
8390, -113859
8410, -113891
8430, -113924
8440, -113951
8460, -113989
8470, -114018
8490, -114052
8500, -114086
8520, -114115
8530, -114148
8550, -114179
8570, -114212
8580, -114240
8600, -114277
8610, -114306
8630, -114343
8640, -114377
8660, -114408
8670, -114442
8690, -114476
8710, -114511
8720, -114542
8740, -114578
8750, -114608
8770, -114640
8780, -114671
8800, -114701
8820, -114740
8830, -114768
8850, -114803
8860, -114833
8880, -114865
8890, -114897
8910, -114931
8920, -114965
8940, -115000
8960, -115040
8970, -115068
8990, -115101
9000, -115130
9020, -115161
9030, -115194
9050, -115226
9060, -115258
9080, -115292
9100, -115328
9110, -115355
9130, -115389
9140, -115416
9160, -115451
9170, -115505
9190, -115541
9210, -115576
9220, -115601
9240, -115635
9250, -115661
9270, -115697
9280, -115728
9300, -115760
9310, -115795
9330, -115824
9350, -115859
9360, -115888
9380, -115920
9390, -115952
9410, -115990
9420, -116018
9440, -116049
9450, -116079
9470, -116105
9490, -116120
9500, -116121
9520, -116122
9530, -116122
9550, -116122
9560, -116121
9580, -116121
9600, -116121
9610, -116121
9630, -116121
9640, -116121
9660, -116121
9670, -116121
9690, -116121
9700, -116121
9720, -116121
9740, -116121
9750, -116121
9770, -116121
9780, -116121
9800, -116121
9810, -116121
9830, -116121
9840, -116121
9860, -116121
9880, -116121
9890, -116121
9910, -116121
9920, -116121
9940, -116121
9950, -116121
9970, -116121
9990, -116121
10000, -116119
10020, -116118
10030, -116113
10050, -116102
10070, -116092
10080, -116081
10100, -116065
10120, -116036
10130, -116002
10150, -115972
10170, -115938
10180, -115896
10200, -115851
10220, -115805
10230, -115761
10250, -115714
10270, -115663
10280, -115611
10300, -115560
10320, -115508
10330, -115452
10350, -115396
10370, -115340
10380, -115283
10400, -115209
10420, -115138
10430, -115065
10450, -114997
10470, -114919
10480, -114838
10500, -114755
10520, -114674
10530, -114599
10550, -114521
10570, -114443
10580, -114364
10600, -114299
10620, -114238
10630, -114178
10650, -114114
10670, -114055
10680, -113999
10700, -113940
10720, -113878
10730, -113822
10750, -113765
10770, -113704
10780, -113651
10800, -113596
10820, -113538
10830, -113483
10850, -113426
10870, -113366
10880, -113311
10900, -113254
10920, -113195
10930, -113141
10950, -113086
10970, -113027
10980, -112972
11000, -112913
11020, -112854
11030, -112798
11050, -112739
11070, -112673
11080, -112621
11100, -112563
11120, -112499
11130, -112444
11150, -112387
11170, -112321
11180, -112265
11200, -112205
11220, -112145
11230, -112091
11250, -112032
11270, -111966
11280, -111909
11300, -111853
11320, -111789
11330, -111735
11350, -111673
11370, -111611
11380, -111558
11400, -111498
11420, -111433
11430, -111383
11450, -111322
11470, -111255
11480, -111201
11500, -111145
11510, -111087
11530, -111027
11550, -110966
11560, -110906
11580, -110852
11600, -110798
11610, -110744
11630, -110690
11650, -110640
11660, -110589
11680, -110539
11700, -110489
11710, -110439
11730, -110389
11750, -110339
11760, -110288
11780, -110238
11800, -110185
11810, -110133
11830, -110080
11850, -110029
11860, -109977
11880, -109925
11900, -109871
11910, -109817
11930, -109762
11950, -109706
11960, -109653
11980, -109598
12000, -209540
12010, -209477
12030, -209412
12050, -209350
12060, -209288
12080, -209224
12100, -209158
12110, -209094
12130, -209032
12150, -208962
12160, -208890
12180, -208821
12200, -208747
12210, -208667
12230, -208589
12250, -208508
12260, -208435
12280, -208345
12300, -208256
12310, -208171
12330, -208086
12350, -207999
12360, -207910
12380, -207826
12400, -207739
12410, -207654
12430, -207569
12450, -207482
12460, -207395
12480, -207311
12500, -207228
12510, -207144
12530, -207058
12550, -206983
12560, -206900
12580, -206819
12600, -206738
12610, -206659
12630, -206580
12650, -206496
12660, -206416
12680, -206339
12700, -206254
12710, -206176
12730, -206094
12750, -206011
12760, -205937
12780, -205853
12800, -205770
12810, -205692
12830, -205612
12850, -205530
12860, -205451
12880, -205370
12900, -205289
12910, -205209
12930, -205130
12950, -205046
12960, -204972
12980, -204893
13000, -204805
13010, -204730
13030, -204650
13050, -204565
13060, -204489
13080, -204406
13100, -204322
13110, -204248
13130, -204166
13150, -204081
13160, -204004
13180, -203927
13200, -203840
13210, -203763
13230, -203682
13250, -203599
13260, -203523
13280, -203443
13300, -203354
13310, -203282
13330, -203201
13350, -203111
13360, -203040
13380, -202959
13400, -202871
13410, -202797
13430, -202714
13450, -202630
13460, -202556
13480, -202475
13500, -202386
13510, -202311
13530, -202235
13550, -202145
13560, -202071
13580, -201992
13590, -201911
13610, -201831
13630, -201750
13640, -201668
13660, -201590
13680, -201506
13690, -201427
13710, -201346
13730, -201266
13740, -201188
13760, -201102
13780, -201022
13790, -200945
13810, -200860
13830, -200781
13840, -200700
13860, -200619
13880, -200536
13890, -200446
13910, -200358
13930, -200274
13940, -200192
13960, -200101
13980, -200016
13990, -199930
14010, -199845
14030, -199758
14040, -199671
14060, -299586
14080, -299504
14090, -299433
14110, -299361
14130, -299285
14140, -299224
14160, -299219
14180, -299219
14190, -299218
14210, -299218
14230, -299221
14240, -299222
14260, -299222
14280, -299222
14290, -299222
14310, -299222
14330, -299221
14340, -299221
14360, -299221
14380, -299221
14390, -299221
14410, -299221
14430, -299221
14440, -299221
14460, -299221
14480, -299220
14490, -299220
14510, -299220
14530, -299220
14540, -299220
14560, -299220
14580, -299220
14590, -299220
14610, -299220
14630, -299220
14640, -299220
14660, -299220
14680, -299219
14690, -299219
14710, -299219
14730, -299219
14740, -299219
14760, -299219
14780, -299219
14790, -299219
14810, -299219
14830, -299219
14840, -299219
14860, -299219
14880, -299219
14890, -299219
14910, -299219
14930, -299219
14940, -299218
14960, -299218
14980, -299218
14990, -299218
15010, -299218
15030, -299218
15040, -299218
15060, -299218
15080, -299218
15090, -299218
15110, -299218
15130, -299218
15140, -299218
15160, -299218
15180, -299218
15190, -299218
15210, -299218
15230, -299218
15240, -299218
15260, -299218
15280, -299218
15290, -299218
15310, -299218
15330, -299217
15340, -299217
15360, -299217
15380, -299217
15390, -299217
15410, -299217
15430, -299217
15440, -299217
15460, -299217
15480, -299217
15490, -299217
15510, -299217
15530, -299217
15540, -299217
15560, -299217
15580, -299217
15590, -299217
15610, -299217
15630, -299217
15640, -299217
15660, -299217
15670, -299217
15690, -299217
15710, -299217
15720, -299217
15740, -299217
15760, -299217
15770, -299217
15790, -299217
15810, -299217
15820, -299217
15840, -299217
15860, -299217
15870, -299217
15890, -299216
15910, -299216
15920, -299216
15940, -299216
15960, -299216
15970, -299216
15990, -299216
16010, -299216
16020, -299216
16040, -299216
16060, -299216
16070, -299216
16090, -299216
16110, -299216
16120, -299216
16140, -299216
16160, -299216
16170, -299216
16190, -299216
16210, -299216
16220, -299216
16240, -299216
16260, -299216
16270, -299216
16290, -299216
16310, -299216
16320, -299216
16340, -299216
16360, -299216
16370, -299216
16390, -299216
16410, -299216
16420, -299216
16440, -299216
16460, -299216
16470, -299216
16490, -299216
16510, -299216
16520, -299216
16540, -299216
