Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10788679, -4641605, -30797028, 65188, 205313, -152066,0, 
0x00000000, -10785771, -4635913, -30799776, 65219, 205115, -152309,144, 
0x00000000, -10789041, -4637869, -30797544, 65309, 204897, -152234,284, 
0x00000000, -10774751, -4643411, -30805860, 65301, 205146, -152378,426, 
0x00000000, -10776938, -4642882, -30796738, 65301, 204734, -152090,567, 
0x00000000, -10791988, -4643164, -30801364, 65471, 205325, -152476,707, 
0x00000000, -10793328, -4638225, -30799472, 65318, 205251, -152123,1074, 
0x00000000, -10785887, -4634961, -30796952, 65569, 205261, -152264,1217, 
0x00000000, -10787463, -4634988, -30780050, 65421, 205256, -152258,1361, 
0x00000000, -10788103, -4634861, -30784754, 65717, 205012, -152098,1502, 
0x00000000, -10784286, -4636048, -30783734, 65515, 205235, -152195,1645, 
0x00000000, -10783209, -4637554, -30780482, 65833, 205402, -152196,1786, 
0x00000000, -10783475, -4632077, -30778190, 65538, 205109, -152479,1926, 
0x00000000, -10786589, -4645185, -30775290, 65837, 205213, -151905,2077, 
0x00000000, -10786238, -4639126, -30777270, 65875, 205263, -152516,2216, 
0x00000000, -10783175, -4628191, -30764724, 65829, 205183, -152268,2357, 
0x00000000, -10790866, -4634360, -30771184, 65950, 205380, -152295,2497, 
0x00000000, -10783314, -4654277, -30765532, 65861, 205358, -152323,2636, 
0x00000000, -10782742, -4643140, -30764884, 65980, 205448, -152022,2779, 
0x00000000, -10791673, -4631869, -30775552, 65809, 205306, -152313,2921, 
0x00000000, -10790704, -4645355, -30758496, 65653, 205330, -152200,3067, 
0x00000000, -10788143, -4628717, -30775352, 65951, 205580, -152230,3208, 
0x00000000, -10784598, -4638144, -30770168, 65891, 205330, -152248,3350, 
0x00000000, -10782186, -4639099, -30773132, 65961, 205134, -152033,3496, 
0x00000000, -10784881, -4640553, -30779858, 65766, 205271, -152318,3644, 
0x00000000, -10789168, -4634523, -30778812, 66014, 205411, -152108,3784, 
0x00000000, -10789913, -4633522, -30766224, 66012, 205506, -151905,3925, 
0x00000000, -10790133, -4640589, -30778046, 65867, 205445, -152329,4067, 
0x00000000, -10779488, -4651296, -30848776, 65735, 205920, -152062,4208, 
0x00000000, -10779457, -4631315, -30943714, 65802, 206224, -152518,4348, 
0x00000000, -10766284, -4637106, -31040724, 65458, 206808, -152192,4491, 
0x00000000, -10767350, -4641696, -31146400, 65450, 207296, -152362,4633, 
0x00000000, -10779455, -4631574, -31212448, 65343, 207546, -152175,4776, 
0x00000000, -10763986, -4624401, -31322568, 65070, 208273, -152131,4917, 
0x00000000, -10750977, -4621319, -31446400, 65027, 208848, -152157,5070, 
0x00000000, -10735583, -4609558, -31560344, 64595, 209459, -152215,5219, 
0x00000000, -10744252, -4612758, -31661918, 64640, 209958, -152162,5364, 
0x00000000, -10775791, -4627044, -31700956, 65590, 210219, -151965,5507, 
0x00000000, -10744458, -4630795, -31807436, 65230, 210529, -152070,5648, 
0x00000000, -10726980, -4621741, -31928244, 65759, 211435, -152210,5788, 
0x00000000, -10720133, -4626957, -32011012, 65852, 211628, -152098,5930, 
0x00000000, -10728914, -4622961, -32116314, 66306, 212235, -152038,6078, 
0x00000000, -10716293, -4658825, -32204180, 66284, 212666, -151949,6226, 
0x00000000, -10705365, -4636764, -32317768, 66427, 213691, -152326,6368, 
0x00000000, -10698267, -4631105, -32443172, 66313, 214348, -152139,6515, 
0x00000000, -10681747, -4639149, -32539158, 66293, 215039, -152226,6662, 
0x00000000, -10677439, -4648177, -32673932, 66309, 215725, -152129,6803, 
0x00000000, -10677711, -4647704, -32770752, 66294, 216494, -152387,6947, 
0x00000000, -10673876, -4677700, -32883390, 66551, 217292, -152470,7096, 
0x00000000, -10662673, -4683498, -32981048, 66475, 218238, -152340,7246, 
0x00000000, -10660851, -4661262, -33109940, 66425, 219307, -152566,7397, 
0x00000000, -10636418, -4650582, -33206042, 66667, 219800, -152375,7545, 
0x00000000, -10661737, -4654269, -33314496, 67033, 221070, -152033,7688, 
0x00000000, -10628525, -4621798, -33424054, 67316, 222018, -152003,7831, 
0x00000000, -10620298, -4667773, -33520792, 67475, 222789, -152025,7973, 
0x00000000, -10652023, -4666835, -33624056, 67868, 223532, -152233,8116, 
0x00000000, -10643486, -4652726, -33742016, 68081, 224298, -152079,8258, 
0x00000000, -10629317, -4639932, -33841232, 68276, 225083, -152112,8400, 
0x00000000, -10604196, -4666217, -34008124, 68468, 226375, -152086,8650, 
0x00000000, -10602513, -4653388, -34115460, 68445, 227360, -152249,8798, 
0x00000000, -10624318, -4670014, -34214072, 68559, 228127, -152384,8941, 
0x00000000, -10574767, -4646216, -34318016, 68618, 228656, -151850,9087, 
0x00000000, -10585525, -4657753, -34419888, 68502, 229607, -152042,9229, 
0x00000000, -10597735, -4643151, -34483252, 68756, 230055, -152021,9371, 
0x00000000, -10586357, -4582040, -34576520, 68966, 230219, -151747,9514, 
0x00000000, -10583005, -4575504, -34679160, 68730, 231029, -151582,9655, 
0x00000000, -10572913, -4586535, -34768948, 69118, 231662, -151764,9796, 
0x00000000, -10574664, -4598886, -34847304, 69007, 232219, -151740,9940, 
0x00000000, -10561696, -4641977, -34893376, 69256, 232501, -152025,10087, 
0x00000000, -10543314, -4632180, -34965088, 69144, 233058, -151837,10227, 
0x00000000, -10508091, -4652911, -35058352, 69332, 233344, -152068,10370, 
0x00000000, -10508706, -4666887, -35117996, 69708, 233655, -151936,10512, 
0x00000000, -10518382, -4647702, -35184824, 69616, 233940, -151810,10656, 
0x00000000, -10511585, -4624218, -35273560, 69938, 234320, -151706,10805, 
0x00000000, -10489672, -4658071, -35373936, 70048, 234928, -152086,10947, 
0x00000000, -10495590, -4645275, -35437344, 70445, 235011, -151917,11099, 
0x00000000, -10511641, -4700231, -35531624, 70564, 235928, -152227,11256, 
0x00000000, -10517289, -4654216, -35608208, 70714, 236402, -152243,11403, 
0x00000000, -10513705, -4675385, -35683768, 70735, 236688, -152301,11547, 
0x00000000, -10536536, -4708652, -35788232, 71139, 237455, -152597,11689, 
0x00000000, -10520298, -4697482, -35859492, 71138, 237687, -152321,11837, 
0x00000000, -10535345, -4662411, -35973952, 71591, 238056, -151690,11983, 
0x00000000, -10539343, -4687465, -36055888, 71462, 238762, -152303,12127, 
0x00000000, -10566778, -4698971, -36141988, 71554, 238885, -152226,12288, 
0x00000000, -10557545, -4730044, -36227744, 71980, 239369, -152320,12435, 
0x00000000, -10541128, -4745112, -36308376, 71873, 239743, -152537,12577, 
0x00000000, -10573263, -4735053, -36392088, 72210, 240508, -152560,12719, 
0x00000000, -10579479, -4728513, -36492884, 72312, 240887, -152563,12871, 
0x00000000, -10589841, -4766810, -36579132, 72208, 241348, -152928,13017, 
0x00000000, -10627778, -4770666, -36668796, 72667, 241790, -152689,13167, 
0x00000000, -10654140, -4841026, -36769300, 72620, 242681, -153235,13309, 
0x00000000, -10650627, -4831995, -36826632, 72871, 242759, -153039,13461, 
0x00000000, -10630062, -4836822, -36891136, 72673, 243173, -153223,13607, 
0x00000000, -10786323, -5040626, -36908344, 72730, 244005, -154799,13749, 
0x00000000, -10795950, -5109922, -36930008, 72766, 244110, -155532,13895, 
0x00000000, -10766250, -5081677, -36972360, 72397, 245024, -155128,14040, 
0x00000000, -10781720, -5117817, -37031552, 72484, 245435, -155175,14206, 
0x00000000, -10808664, -5136247, -37040840, 72311, 246704, -155474,14359, 
0x00000000, -10769465, -5153135, -36970804, 71796, 247178, -155489,14508, 
0x00000000, -10745671, -5103040, -36893856, 71807, 247120, -155467,14648, 
0x00000000, -10737402, -5154042, -36830584, 72235, 246990, -155757,14800, 
0x00000000, -10584063, -4922344, -36913964, 74749, 248793, -153835,14948, 
