, -163
42340, -163
42360, -163
42370, -163
42380, -163
42400, -163
42410, -163
42420, -163
42440ÿ0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
10, 0
10, 0
20, 0
30, 0
40, 0
40, 0
50, 0
60, 0
70, 0
70, 0
80, 0
90, 0
90, 0
100, 0
110, 0
120, 0
130, -1
140, -1
150, -2
160, -2
160, -2
170, -4
180, -5
190, -6
200, -7
210, -8
220, -9
230, -12
240, -16
250, -20
260, -24
270, -28
280, -31
290, -35
300, -40
310, -45
320, -51
330, -58
340, -65
350, -72
370, -79
380, -83
390, -87
400, -92
410, -97
420, -103
430, -110
440, -117
450, -124
460, -130
470, -135
490, -142
500, -147
510, -154
520, -161
530, -169
540, -175
550, -180
570, -187
580, -192
590, -198
600, -205
610, -213
620, -220
630, -227
650, -234
660, -239
670, -245
680, -253
690, -261
700, -269
710, -275
730, -281
740, -286
750, -291
760, -298
770, -306
780, -315
790, -322
810, -330
820, -336
830, -343
840, -352
850, -363
860, -372
870, -380
890, -390
900, -397
910, -407
920, -418
930, -427
940, -434
950, -445
970, -460
980, -471
990, -480
1000, -490
1010, -503
1030, -520
1040, -530
1050, -541
1060, -555
1080, -573
1090, -584
1100, -596
1110, -612
1130, -628
1140, -638
1150, -653
1160, -669
1180, -684
1190, -694
1200, -710
1210, -725
1230, -739
1240, -751
1250, -767
1260, -781
1280, -797
1290, -809
1300, -824
1310, -836
1330, -854
1340, -866
1350, -879
1360, -892
1370, -907
1390, -922
1400, -934
1410, -948
1420, -964
1440, -979
1450, -991
1460, -1006
1480, -1024
1490, -1035
1500, -1051
1520, -1071
1530, -1082
1540, -1096
1560, -1115
1570, -1128
1580, -1142
1600, -1159
1610, -1175
1620, -1188
1640, -1204
1650, -1221
1670, -1236
1680, -1249
1690, -1267
1710, -1283
1720, -1294
1730, -1312
1750, -1328
1760, -1340
1770, -1357
1790, -1375
1800, -1387
1810, -1403
1830, -1420
1840, -1433
1850, -1448
1870, -1465
1880, -1479
1890, -1492
1910, -1509
1920, -1525
1940, -1542
1950, -1557
1960, -1576
1980, -1592
1990, -1607
2000, -1624
2020, -1640
2030, -1657
2040, -1675
2060, -1689
2070, -1705
2080, -1723
2100, -1737
2110, -1755
2120, -1774
2140, -1788
2150, -1805
2170, -1825
2180, -1836
2190, -1852
2210, -1873
2220, -1885
2230, -1901
2250, -1921
2260, -1934
2270, -1952
2290, -1971
2300, -1984
2310, -2001
2330, -2018
2340, -2033
2350, -2049
2370, -2068
2380, -2082
2400, -2102
2410, -2117
2420, -2132
2440, -2152
2450, -2167
2460, -2182
2480, -2199
2490, -2216
2500, -2230
2520, -2247
2530, -2265
2540, -2280
2560, -2296
2570, -2314
2580, -2329
2600, -2344
2610, -2363
2630, -2382
2640, -2394
2650, -2413
2670, -2430
2680, -2443
2690, -2462
2710, -2479
2720, -2491
2730, -2510
2750, -2528
2760, -2541
2770, -2560
2790, -2577
2800, -2592
2810, -2610
2830, -2626
2840, -2640
2850, -2658
2870, -2674
2880, -2689
2900, -2710
2910, -2724
2920, -2738
2940, -2759
2950, -2774
2960, -2789
2980, -2808
2990, -2823
3000, -2836
3020, -2855
3030, -2872
3040, -2886
3060, -2903
3070, -2921
3080, -2935
3100, -2953
3110, -2971
3130, -2988
3140, -3003
3150, -3020
3170, -3036
3180, -3051
3190, -3069
3210, -3085
3220, -3100
3230, -3118
3250, -3133
3260, -3149
3270, -3169
3290, -3184
3300, -3200
3310, -3219
3330, -3234
3340, -3252
3360, -3275
3370, -3286
3380, -3305
3400, -3326
3410, -3339
3420, -3359
3440, -3379
3450, -3394
3460, -3413
3480, -3430
3490, -3446
3500, -3466
3520, -3482
3530, -3498
3540, -3518
3560, -3534
3570, -3553
3580, -3573
3600, -3588
3610, -3608
3630, -3627
3640, -3640
3650, -3661
3670, -3679
3680, -3693
3690, -3713
3710, -3731
3720, -3747
3730, -3768
3750, -3785
3760, -3802
3770, -3821
3790, -3836
3800, -3855
3810, -3873
3830, -3888
3840, -3907
3860, -3928
3870, -3942
3880, -3962
3900, -3982
3910, -3997
3920, -4016
3940, -4033
3950, -4049
3960, -4069
3980, -4085
3990, -4102
4000, -4122
4020, -4138
4030, -4157
4040, -4176
4060, -4192
4070, -4211
4090, -4230
4100, -4244
4110, -4265
4130, -4283
4140, -4297
4150, -4317
4170, -4335
4180, -4351
4190, -4371
4210, -4388
4220, -4406
4230, -4423
4250, -4440
4260, -4459
4270, -4477
4290, -4492
4300, -4512
4320, -4532
4330, -4545
4340, -4566
4360, -4585
4370, -4600
4380, -4620
4400, -4637
4410, -4653
4420, -4673
4440, -4688
4450, -4706
4460, -4725
4480, -4742
4490, -4761
4500, -4779
4520, -4795
4530, -4815
4540, -4830
4560, -4848
4570, -4868
4590, -4886
4600, -4901
4610, -4921
4630, -4938
4640, -4955
4650, -4974
4670, -4992
4680, -5009
4690, -5027
4710, -5044
4720, -5063
4730, -5080
4750, -5096
4760, -5116
4770, -5132
4790, -5149
4800, -5170
4820, -5188
4830, -5204
4840, -5223
4860, -5240
4870, -5257
4880, -5276
4900, -5293
4910, -5311
4920, -5328
4940, -5345
4950, -5364
4960, -5381
4980, -5399
4990, -5418
5000, -5434
5020, -5452
5030, -5471
5050, -5489
5060, -5504
5070, -5523
5090, -5541
5100, -5558
5110, -5577
5130, -5595
5140, -5613
5150, -5629
5170, -5647
5180, -5666
5190, -5683
5210, -5700
5220, -5719
5230, -5735
5250, -5753
5260, -5774
5270, -5789
5290, -5808
5300, -5826
5320, -5844
5330, -5861
5340, -5879
5360, -5897
5370, -5914
5380, -5931
5400, -5949
5410, -5968
5420, -5985
5440, -6003
5450, -6021
5460, -6037
5480, -6056
5490, -6075
5500, -6090
5520, -6109
5530, -6127
5550, -6146
5560, -6163
5570, -6181
5590, -6200
5600, -6217
5610, -6233
5630, -6252
5640, -6271
5650, -6286
5670, -6304
5680, -6323
5690, -6338
5710, -6358
5720, -6377
5730, -6392
5750, -6412
5760, -6429
5780, -6449
5790, -6465
5800, -6482
5820, -6501
5830, -6519
5840, -6534
5860, -6554
5870, -6573
5880, -6589
5900, -6608
5910, -6625
5920, -6641
5940, -6661
5950, -6678
5960, -6693
5980, -6713
5990, -6730
6010, -6751
6020, -6767
6030, -6784
6050, -6804
6060, -6821
6070, -6837
6090, -6857
6100, -6874
6110, -6890
6130, -6909
6140, -6926
6150, -6940
6170, -6958
6180, -6976
6190, -6991
6210, -7010
6220, -7028
6230, -7043
6250, -7063
6260, -7080
6280, -7099
6290, -7116
6300, -7133
6320, -7152
6330, -7170
6340, -7186
6360, -7205
6370, -7223
6380, -7238
6400, -7258
6410, -7276
6420, -7291
6440, -7310
6450, -7328
6460, -7343
6480, -7361
6490, -7379
6510, -7397
6520, -7411
6530, -7428
6550, -7444
6560, -7460
6570, -7477
6590, -7494
6600, -7511
6610, -7530
6630, -7547
6640, -7566
6650, -7583
6670, -7600
6680, -7619
6690, -7635
6710, -7652
6720, -7672
6740, -7691
6750, -7706
6760, -7725
6780, -7743
6790, -7758
6800, -7777
6820, -7793
6830, -7809
6840, -7826
6860, -7841
6870, -7857
6880, -7875
6900, -7890
