, -199357
6950, -7928
6960, -7940
6970, -7957
6990, -7977
7000, -7989
7010, -8005
7030, -8025
7040, -8038
7050, -8053
7070, -8072
7080, -8086
7090, -8101
7110, -8120
7120, -8135
7130, -8150
7150, -8170
7160, -8186
7180, -8205
7190, -8219
7200, -8234
7220, -8252
7230, -8268
7240, -8284
7260, -8301
7270, -8317
7280, -8333
7300, -8350
7310, -8368
7320, -8385
7340, -8400
7350, -8418
7360, -8433
7380, -8447
7390, -8466
7400, -8481
7420, -8495
7430, -8512
7450, -8532
7460, -8544
7470, -8561
7490, -8582
7500, -8594
7510, -8611
7530, -8629
7540, -8642
7550, -8659
7570, -8678
7580, -8691
7590, -8708
7610, -8726
7620, -8740
7630, -8757
7650, -8777
7660, -8792
7680, -8812
7690, -8826
7700, -8841
7720, -8861
7730, -8876
7740, -8890
7760, -8908
7770, -8924
7780, -8939
7800, -8956
7810, -8975
7820, -8989
7840, -9005
7850, -9022
7860, -9037
7880, -9052
7890, -9071
7910, -9088
7920, -9100
7930, -9118
7950, -9137
7960, -9150
7970, -9169
7990, -9187
8000, -9200
8010, -9219
8030, -9235
8040, -9249
8050, -9269
8070, -9285
8080, -9298
8090, -9317
8110, -9333
8120, -9348
8130, -9367
8150, -9385
8160, -9399
8180, -9420
8190, -9433
8200, -9447
8220, -9468
8230, -9482
8240, -9495
8260, -9513
8270, -9529
8280, -9544
8300, -9562
8310, -9579
8320, -9593
8340, -9610
8350, -9628
8360, -9642
8380, -9659
8390, -9677
8410, -9694
8420, -9708
8430, -9726
8450, -9743
8460, -9757
8470, -9777
8490, -9793
8500, -9809
8510, -9827
8530, -9842
8540, -9859
8550, -9877
8570, -9891
8580, -9907
8590, -9925
8610, -9940
8620, -9956
8640, -109978
8650, -109992
8670, -110011
8680, -110030
8700, -110047
8710, -110068
8730, -110085
8740, -110102
8760, -110123
8780, -110143
8790, -110159
8810, -110183
8820, -110200
8840, -110223
8850, -110242
8870, -110263
8880, -110284
8900, -110302
8920, -110328
8930, -110344
8950, -110366
8960, -110387
8980, -110407
8990, -110428
9010, -110445
9030, -110471
9040, -110487
9060, -110507
9070, -110527
9090, -110545
9100, -110566
9120, -110588
9130, -110607
9150, -110628
9170, -110649
9180, -110669
9200, -110690
9210, -110708
9230, -110730
9240, -110748
9260, -110772
9270, -110792
9290, -110812
9310, -110835
9320, -110852
9340, -110876
9350, -110893
9370, -110914
9380, -110935
9400, -110953
9420, -110980
9430, -110994
9450, -111017
9460, -111035
9480, -111054
9490, -111076
9510, -111094
9520, -111115
9540, -111136
9560, -111157
9570, -111178
9590, -111197
9600, -111218
9620, -111237
9630, -111257
9650, -111280
9660, -111298
9680, -111321
9700, -111342
9710, -111361
9730, -111385
9740, -111402
9760, -111424
9770, -111442
9790, -111462
9810, -111486
9820, -111501
9840, -111525
9850, -111542
9870, -111562
9880, -111585
9900, -111603
9910, -111624
9930, -111643
9950, -111667
9960, -111686
9980, -111705
9990, -111726
10010, -111746
10020, -111771
10040, -111792
10060, -111813
10070, -111835
10090, -111856
10110, -111881
10120, -111899
10140, -111923
10160, -111943
10170, -111966
10190, -111988
10210, -112007
10220, -112031
10240, -112050
10260, -112073
10270, -112093
10290, -112115
10310, -112137
10320, -112158
10340, -112182
10360, -112202
10370, -112225
10390, -112245
10410, -112268
10420, -112290
10440, -112311
10460, -112335
10470, -112355
10490, -112380
10510, -112400
10520, -112423
10540, -112442
10560, -112463
10570, -112486
10590, -112505
10610, -112529
10620, -112548
10640, -112572
10660, -112593
10670, -112615
10690, -112636
10710, -112656
10720, -112680
10740, -112699
10760, -112722
10770, -112744
10790, -112766
10810, -112790
10820, -112810
10840, -112834
10860, -112853
10870, -112878
10890, -112897
10910, -112920
10920, -112941
10940, -112962
10960, -112986
10970, -113005
10990, -113028
11010, -113048
11020, -113070
11040, -113091
11060, -113112
11070, -113134
11090, -113153
11110, -113179
11120, -113198
11140, -113221
11160, -113242
11170, -113262
11190, -113286
11210, -113306
11220, -113330
11240, -113350
11260, -113376
11270, -113396
11290, -113418
11310, -113439
11320, -113458
11340, -113482
11360, -113501
11370, -113522
11390, -113543
11410, -113566
11420, -113589
11440, -113608
11460, -113632
11470, -113650
11490, -113674
11510, -113694
11520, -113714
11540, -113737
11560, -113759
11570, -113784
11590, -113790
11610, -113791
11620, -113791
11640, -113791
11660, -113791
11670, -113791
11690, -113791
11710, -113791
11720, -113791
11740, -113791
11760, -113791
11770, -113791
11790, -113791
11810, -113791
11820, -113791
11840, -113791
11860, -113791
11870, -113791
11890, -113791
11900, -113791
11920, -113791
11940, -113791
11950, -113791
11970, -113791
11990, -113791
12000, -113791
12020, -113791
12040, -113791
12050, -113791
12070, -113791
12090, -113787
12100, -113782
12120, -113776
12140, -113768
12150, -113755
12170, -113744
12190, -113735
12200, -113724
12220, -113707
12240, -113692
12250, -113681
12270, -113665
12290, -113645
12300, -113629
12320, -113609
12340, -113591
12350, -113573
12370, -113548
12390, -113529
12400, -113505
12420, -113486
12440, -113465
12450, -113443
12470, -113424
12490, -113400
12500, -113378
12520, -113351
12540, -113328
12550, -113301
12570, -113278
12590, -113249
12600, -113225
12620, -113196
12640, -113171
12650, -113141
12670, -113114
12690, -113086
12700, -113058
12720, -113032
12740, -113001
12750, -112976
12770, -112945
12790, -112917
12800, -112886
12820, -112855
12840, -112828
12850, -112796
12870, -112768
12890, -112737
12900, -112705
12920, -112675
12940, -112642
12950, -112610
12970, -112581
12990, -112548
13000, -112518
13020, -112486
13040, -112452
13050, -112424
13070, -112391
13090, -112359
13100, -112329
13120, -112295
13140, -112263
13150, -112233
13170, -112199
13190, -112170
13200, -112139
13220, -112106
13240, -112074
13250, -112043
13270, -112012
13290, -111981
13300, -111949
13320, -111920
13340, -111888
13350, -111859
13370, -111831
13390, -111797
13400, -111772
13420, -111740
13440, -111707
13450, -111680
13470, -111648
13490, -111618
13500, -111590
13520, -111560
13540, -111530
13550, -111499
13570, -111472
13590, -111438
13600, -111411
13620, -111383
13640, -111349
13650, -111323
13670, -111291
13690, -111259
13700, -111232
13720, -111200
13740, -111170
13750, -111141
13770, -111112
13790, -111080
13800, -111050
13820, -111023
13840, -110989
13850, -110962
13870, -110933
13890, -110899
13900, -110874
13920, -110842
13940, -110809
13950, -110784
13970, -110752
13980, -110724
14000, -110691
14020, -110663
14030, -110633
14050, -110601
14070, -110574
14080, -110542
14100, -110514
14120, -110483
14130, -110452
14150, -110425
14170, -110393
14180, -110365
14200, -110335
14220, -110303
14230, -110275
14250, -110243
14270, -110214
14280, -110184
14300, -110154
14320, -110125
14330, -110092
14350, -110065
14370, -110034
14380, -110004
14400, -209976
14420, -209944
14430, -209916
14450, -209885
14470, -209855
14480, -209827
14500, -209795
14520, -209768
14530, -209737
14550, -209706
14570, -209677
14580, -209646
14600, -209618
14620, -209586
14630, -209557
14650, -209528
14670, -209495
14680, -209468
14700, -209437
14720, -209407
14730, -209380
14750, -209348
14770, -209320
14780, -209288
14800, -209259
14820, -209229
14830, -209197
14850, -209170
14870, -209138
14880, -209108
14900, -209079
14920, -209047
14930, -209020
14950, -208989
14970, -208961
14980, -208931
15000, -208899
15020, -208872
15030, -208840
15050, -208811
15070, -208781
15080, -208751
15100, -208722
15120, -208688
15130, -208661
15150, -208631
15170, -208599
15180, -208573
15200, -208540
15220, -208511
15230, -208481
15250, -208450
15270, -208422
15280, -208392
15300, -208364
15320, -208332
15330, -208302
15350, -208274
15370, -208240
15380, -208214
15400, -208183
15420, -208151
15430, -208124
15450, -208091
15470, -208062
15480, -208034
15500, -208004
15520, -207974
15530, -207944
15550, -207916
15570, -207883
15580, -207854
15600, -207826
15620, -207792
15630, -207767
15650, -207736
15670, -207702
15680, -207676
15700, -207644
15720, -207614
15730, -207585
15750, -207556
15770, -207525
15780, -207495
15800, -207467
15820, -207434
15830, -207407
15850, -207379
15870, -207345
15880, -207320
15900, -207287
15920, -207255
15930, -207229
15950, -207196
15970, -207167
15980, -207137
16000, -207105
16020, -207071
16030, -207040
16050, -207010
16060, -206979
16080, -206946
16100, -206916
16110, -206884
16130, -206852
16150, -206822
16160, -206788
16180, -206759
16200, -206728
16210, -206694
16230, -206664
16250, -206631
16260, -206598
16280, -206570
16300, -206537
16310, -206505
16330, -206475
16350, -206441
16360, -206411
16380, -206382
16400, -206349
16410, -206319
16430, -206285
16450, -206253
16460, -206224
16480, -206191
16500, -206161
16510, -206129
16530, -206094
16550, -206061
16560, -206029
16580, -205993
16600, -205960
16610, -205929
16630, -205893
16650, -205860
16660, -205828
16680, -205793
16700, -205760
16710, -205728
16730, -205691
16750, -205656
16760, -205622
16780, -205586
16800, -205550
16810, -205517
16830, -205482
16850, -205445
16860, -205410
16880, -205378
16900, -205342
16910, -205305
16930, -205271
16950, -205237
16960, -205200
16980, -205166
17000, -205131
17010, -205094
17030, -205060
17050, -205026
17060, -204990
17080, -204956
17100, -204923
17110, -204886
17130, -204850
17150, -204816
17160, -204782
17180, -204746
17200, -204709
17210, -204676
17230, -204641
17250, -204603
17260, -204571
17280, -204535
17300, -204498
17310, -204465
17330, -204431
17350, -204393
17360, -204360
17380, -204325
17400, -204285
17410, -204248
17430, -204210
17450, -204171
17460, -204133
17480, -204091
17500, -204049
17510, -204013
17530, -203975
17550, -203934
17560, -203895
17580, -203858
17600, -203817
17610, -203780
17630, -203740
17650, -203696
17660, -203659
17680, -203622
17700, -203580
17710, -203544
17730, -203503
17750, -203462
17760, -203427
17780, -203387
17800, -203344
17810, -203307
17830, -203268
17850, -203227
17860, -203189
17880, -203148
17900, -203104
17910, -203071
17930, -203034
17950, -202990
17960, -202954
17980, -202915
18000, -202872
18010, -202836
18030, -202795
18050, -202753
18060, -202721
18080, -202681
18100, -202637
18110, -202599
18130, -202560
18140, -202523
18160, -202482
18180, -202442
18190, -202403
18210, -202365
18230, -202326
18240, -202285
18260, -202246
18280, -202207
18290, -202170
18310, -202130
18330, -202088
18340, -202048
18360, -202010
18380, -201973
18390, -201933
18410, -201893
18430, -201854
18440, -201816
18460, -201778
18480, -201737
18490, -201695
18510, -201656
18530, -201617
18540, -201581
18560, -201541
18580, -201500
18590, -201462
18610, -201425
18630, -201385
18640, -201345
18660, -201305
18680, -201267
18690, -201228
18710, -201188
18730, -201147
