encoder,Fz,Fx,Fy,Tx,Ty,Tz,time,turn_count
0,0,0,0,0,0,0,0,0
0,-6954,4458,1658,-209,-151,167,150,0
0,2018,5931,-1777,-109,-48,277,300,0
0,5596,5935,2203,-122,-89,118,452,0
0,11728,334,6817,-50,56,196,600,0
0,-1916,-29,-4431,-152,71,-61,751,0
0,-2560,7163,3260,-281,-181,186,911,0
0,11760,6571,-3693,-186,-131,118,1061,0
0,9816,3606,-4427,-293,-129,-2,1211,0
0,2312,8410,-2698,-236,-142,105,1362,0
0,11656,9823,-2045,-297,52,262,1522,0
203,10944,3269,-4824,-138,141,222,1672,0
620,8832,4949,-4460,-391,118,178,1824,0
1171,8730,-914,-4293,-355,273,23,1977,0
1640,13924,5094,-4358,-432,377,19,2128,0
2108,381410,-251487,-50458,-6163,13969,2866,2280,0
2578,1038372,-613210,-70560,-16995,39340,8070,2430,0
3033,1569200,-863498,-97361,-25758,58659,11646,2581,0
3466,2082548,-936702,-43883,-34033,78184,15056,2731,0
3888,2682184,-984613,22912,-43539,100408,19216,2882,0
4322,3160256,-1189362,50739,-51582,119023,23383,3034,0
4689,3504196,-1162982,103995,-56829,131482,25615,3186,0
4878,3654816,-908217,181538,-59618,137016,24654,3337,0
4921,3730404,-1257148,97357,-60857,140543,27249,3488,0
5847,5005684,-1165890,316089,-81572,188096,35079,3907,0
6299,5483980,-1240400,389373,-88873,205554,38988,4070,0
6730,5881628,-1486102,387348,-95559,221331,43419,4233,0
7197,6273240,-1908335,340386,-102247,236325,48908,4396,0
7590,6616012,-2241140,288588,-107937,248776,52458,4560,0
8025,6992012,-2301277,306729,-114785,262770,54651,4721,0
8451,7431460,-1890142,445011,-121679,279312,53430,4882,0
8911,7884468,-1515522,590150,-129323,296067,52933,5046,-1
9324,8264056,-2124291,432744,-135024,309993,57409,5207,-1
9741,8530368,-2547035,375608,-139921,320292,62440,5365,-1
10144,8916164,-2320729,446245,-146364,335311,61334,5524,-1
10582,9336000,-2024026,535357,-153627,350969,60288,5683,-1
10991,9741992,-1921111,547998,-159840,366164,58719,5840,-1
11388,10160744,-1717219,488347,-167138,381302,54111,5997,-1
11794,10568144,-1088779,499631,-173411,396481,43846,6156,-1
12252,10920316,-804613,377460,-179218,409626,34748,6315,-1
12628,11293144,-487980,278708,-185465,423146,25870,6474,-1
13027,11559356,-1192312,-2217,-189699,432909,27284,6632,-1
13401,11668052,-2092317,-247567,-192114,438203,33345,6792,-1
13319,11774680,-1419475,-78972,-193263,441480,28404,6949,-1
13319,11753664,-1533319,-109291,-192949,440487,29221,7109,-1
13319,11739604,-1508514,-83738,-192862,440207,29699,7266,-1
13318,11723788,-1491213,-74323,-192721,439899,29558,7428,-1
