Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10661639, -4182012, -33515892, 67611, 221749, -166976,12047, 
0x00000000, -10669208, -4183450, -33505470, 67647, 221601, -166945,12194, 
0x00000000, -10670036, -4190863, -33505390, 67442, 221747, -167064,12341, 
0x00000000, -10663465, -4179636, -33498780, 67613, 221490, -167028,12483, 
0x00000000, -10662581, -4182943, -33499446, 67663, 221531, -166952,12624, 
0x00000000, -10666441, -4176616, -33496770, 67537, 221506, -166923,12770, 
0x00000000, -10668537, -4168495, -33502688, 67809, 221449, -166704,12911, 
0x00000000, -10665876, -4176985, -33505804, 67495, 221311, -166731,13052, 
0x00000000, -10666550, -4182528, -33502552, 67236, 221334, -166767,13195, 
0x00000000, -10666853, -4181636, -33502368, 67586, 221149, -166941,13340, 
0x00000000, -10667902, -4178186, -33497692, 67587, 221272, -166970,13482, 
0x00000000, -10665178, -4176668, -33503264, 67553, 221367, -166727,13625, 
0x00000000, -10668217, -4180909, -33497174, 67458, 221504, -166751,13767, 
0x00000000, -10655948, -4181901, -33491652, 67673, 221101, -167002,13914, 
0x00000000, -10661238, -4175839, -33504408, 67284, 221410, -166768,14055, 
0x00000000, -10665456, -4176734, -33507942, 67367, 221442, -166784,14199, 
0x00000000, -10664698, -4173127, -33490646, 67439, 221252, -166709,14344, 
0x00000000, -10662097, -4180083, -33502110, 67621, 221189, -167089,14487, 
0x00000000, -10667373, -4172256, -33491568, 67692, 221051, -166667,14626, 
0x00000000, -10667343, -4176434, -33494998, 67652, 221270, -167016,14768, 
0x00000000, -10657571, -4178328, -33503368, 67454, 221167, -166573,14915, 
0x00000000, -10667665, -4182190, -33491830, 67363, 221383, -166886,15056, 
0x00000000, -10664986, -4169796, -33490416, 67359, 221201, -166757,15200, 
0x00000000, -10660803, -4176154, -33495428, 67412, 221129, -166701,15348, 
0x00000000, -10662458, -4169848, -33493288, 67725, 221032, -166840,15488, 
0x00000000, -10667660, -4181211, -33495668, 67464, 221288, -166719,15631, 
0x00000000, -10666957, -4183310, -33493152, 67437, 221133, -166736,15776, 
0x00000000, -10660501, -4175002, -33499444, 67658, 221142, -166793,15920, 
0x00000000, -10662855, -4173880, -33492012, 67572, 221150, -166820,16063, 
0x00000000, -10660097, -4173184, -33504276, 67770, 221070, -166621,16207, 
0x00000000, -10656354, -4170071, -33493728, 67617, 221064, -166985,16354, 
0x00000000, -10659286, -4174789, -33483460, 67463, 221094, -166389,16500, 
0x00000000, -10658091, -4166143, -33494444, 67489, 221039, -166894,16651, 
0x00000000, -10666485, -4172890, -33489624, 67625, 220943, -166733,16797, 
0x00000000, -10655441, -4169772, -33483096, 67492, 221027, -166601,16939, 
0x00000000, -10660503, -4157506, -33489798, 67583, 221277, -166620,17081, 
0x00000000, -10661727, -4163908, -33493132, 67447, 220997, -166953,17224, 
0x00000000, -10667947, -4168703, -33491052, 67330, 221090, -166843,17377, 
0x00000000, -10654736, -4166872, -33487768, 67275, 221126, -166879,17520, 
0x00000000, -10661962, -4166637, -33490772, 67379, 221145, -166921,17661, 
0x00000000, -10627313, -4058213, -33651904, 68043, 222208, -165526,17810, 
0x00000000, -10835504, -4096842, -33456192, 66311, 219853, -166481,17951, 
0x00000000, -10753152, -4130292, -33322792, 65701, 217877, -166416,18091, 
0x00000000, -10748626, -4115447, -33334204, 65642, 217800, -166367,18234, 
0x00000000, -10803324, -4171218, -33311360, 65333, 217663, -166817,18381, 
0x00000000, -10800909, -4176031, -33293720, 65395, 217714, -166968,18526, 
0x00000000, -10794401, -4169195, -33364576, 65454, 217963, -166615,18669, 
0x00000000, -10830753, -4118819, -33291380, 65468, 217597, -166448,18815, 
0x00000000, -10814736, -4154107, -33284424, 65315, 217213, -166735,18961, 
0x00000000, -10787972, -4119158, -33226208, 64881, 216496, -166494,19104, 
0x00000000, -10793318, -4106230, -33182362, 64683, 215926, -166449,19251, 
0x00000000, -10815036, -4140534, -33162564, 64674, 215945, -166739,19394, 
0x00000000, -10811918, -4128014, -33198228, 64926, 215718, -166572,19538, 
0x00000000, -10739486, -4043139, -33250856, 65109, 215937, -165944,19679, 
0x00000000, -10693126, -4027029, -33319936, 64824, 216583, -165713,19820, 
0x00000000, -10751742, -4035889, -33336648, 64620, 217243, -166024,19971, 
0x00000000, -10720447, -4024607, -33445308, 64600, 217753, -165527,20111, 
0x00000000, -10731882, -4027210, -33521652, 64672, 218367, -165680,20255, 
0x00000000, -10694262, -4043521, -33578200, 64932, 218726, -165923,20410, 
0x00000000, -10682071, -4034206, -33588816, 65116, 218694, -165775,20554, 
0x00000000, -10680093, -4074309, -33558600, 64717, 218743, -166017,20694, 
0x00000000, -10709798, -4093162, -33534812, 64649, 218304, -166320,20835, 
0x00000000, -10742055, -4137437, -33501910, 64496, 218064, -166662,20978, 
0x00000000, -10756592, -4150071, -33462194, 64507, 217997, -166710,21117, 
