Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10516938, -3947149, -32979932, 63344, 212037, -176587,11881, 
0x00000000, -10512844, -3940466, -33018968, 63560, 211880, -176468,12025, 
0x00000000, -10513460, -3945592, -33066810, 64298, 212094, -176671,12173, 
0x00000000, -10509153, -3939476, -33094180, 64340, 212443, -176499,12315, 
0x00000000, -10505400, -3952258, -33150292, 64419, 212922, -176484,12462, 
0x00000000, -10502147, -3953784, -33168792, 64473, 212924, -176522,12605, 
0x00000000, -10499353, -3938542, -33195308, 64631, 213317, -176546,12749, 
0x00000000, -10509381, -3930446, -33259158, 65000, 213867, -176448,12890, 
0x00000000, -10496726, -3938004, -33314752, 65290, 214089, -176407,13036, 
0x00000000, -10500903, -3942422, -33360288, 65320, 214266, -176580,13178, 
0x00000000, -10506642, -3930400, -33401646, 65349, 214637, -176296,13321, 
0x00000000, -10500918, -3940467, -33424580, 65551, 214739, -176575,13462, 
0x00000000, -10499419, -3931983, -33453888, 65703, 215192, -176324,13604, 
0x00000000, -10505834, -3931256, -33482312, 65512, 215483, -176446,13745, 
0x00000000, -10504314, -3928393, -33546776, 65380, 215757, -176387,13889, 
0x00000000, -10497420, -3927954, -33570984, 65626, 215965, -176235,14032, 
0x00000000, -10488134, -3919141, -33620664, 65614, 216448, -176314,14178, 
0x00000000, -10488136, -3919762, -33658128, 65747, 216802, -176136,14327, 
0x00000000, -10483144, -3929928, -33686308, 65703, 216959, -176251,14474, 
0x00000000, -10492094, -3927171, -33729420, 65776, 217352, -176138,14617, 
0x00000000, -10469520, -3920216, -33772248, 65750, 217967, -176383,14766, 
0x00000000, -10474688, -3924791, -33804792, 65773, 218251, -176252,14912, 
0x00000000, -10489044, -3921354, -33856624, 66006, 218458, -176061,15054, 
0x00000000, -10514785, -3927556, -33913960, 65958, 218987, -176524,15198, 
0x00000000, -10527516, -3963803, -33865112, 65685, 218508, -176717,15341, 
0x00000000, -10514934, -3918110, -33889512, 65834, 218742, -176500,15485, 
0x00000000, -10509418, -3922597, -33878932, 65758, 218483, -176400,15631, 
0x00000000, -10510875, -3917334, -33881948, 65782, 218762, -176168,15778, 
0x00000000, -10510526, -3913907, -33881004, 65775, 218670, -176008,15926, 
0x00000000, -10502609, -3919011, -33877152, 65887, 218693, -176155,16066, 
0x00000000, -10506259, -3924871, -33879952, 65702, 218684, -176101,16215, 
0x00000000, -10497673, -3910770, -33878164, 65700, 218586, -176019,16357, 
0x00000000, -10504154, -3909556, -33876224, 65707, 218624, -176047,16499, 
0x00000000, -10508821, -3908984, -33876708, 65566, 218760, -176224,16646, 
0x00000000, -10510381, -3903260, -33876428, 65715, 218519, -176015,16792, 
0x00000000, -10503144, -3906512, -33864648, 65676, 218605, -175914,16932, 
0x00000000, -10503880, -3910996, -33872880, 65780, 218588, -175984,17076, 
0x00000000, -10503600, -3911771, -33864556, 65774, 218516, -176273,17227, 
0x00000000, -10506705, -3906946, -33869056, 65745, 218601, -176410,17375, 
0x00000000, -10503223, -3898204, -33869316, 65987, 218381, -176189,17524, 
0x00000000, -10501845, -3891153, -33865904, 66093, 218509, -176138,17672, 
0x00000000, -10505447, -3905895, -33870820, 65909, 218432, -175808,17833, 
0x00000000, -10508920, -3900611, -33856320, 65905, 218556, -176074,17976, 
0x00000000, -10501749, -3902777, -33864864, 65861, 218515, -175967,18262, 
0x00000000, -10499435, -3897640, -33872728, 65759, 218240, -176045,18409, 
0x00000000, -10499335, -3905795, -33861140, 65904, 218308, -175956,18558, 
0x00000000, -10505021, -3896388, -33866892, 65770, 218447, -175738,18702, 
0x00000000, -10509190, -3898404, -33861836, 65720, 218359, -175890,18848, 
0x00000000, -10505220, -3899104, -33861976, 65876, 218484, -175711,19001, 
0x00000000, -10501763, -3902173, -33860092, 65732, 218352, -175980,19146, 
0x00000000, -10500207, -3911687, -33846504, 65385, 218392, -175756,19289, 
0x00000000, -10503647, -3900176, -33864412, 65603, 218470, -176088,19431, 
0x00000000, -10504058, -3895531, -33857484, 65685, 218456, -176169,19581, 
0x00000000, -10499534, -3903333, -33858052, 65544, 218133, -176011,19730, 
0x00000000, -10503007, -3905838, -33862384, 65761, 218332, -176235,19882, 
0x00000000, -10507710, -3905690, -33851800, 65870, 218469, -175878,20034, 
0x00000000, -10505974, -3895026, -33853772, 65969, 218474, -175824,20178, 
0x00000000, -10507034, -3900523, -33851136, 65802, 218190, -176055,20329, 
0x00000000, -10507113, -3902455, -33839532, 66012, 218435, -175819,20484, 
0x00000000, -10506482, -3900706, -33855936, 65947, 218315, -175880,20634, 
0x00000000, -10500222, -3900921, -33847724, 65835, 218188, -176096,20780, 
0x00000000, -10504526, -3897352, -33849584, 65794, 218421, -175966,20952, 
0x00000000, -10499315, -3901655, -33848864, 65842, 218192, -175878,21115, 
0x00000000, -10508142, -3900515, -33853480, 65967, 218328, -175800,21263, 
0x00000000, -10499910, -3904177, -33845548, 65683, 218071, -175870,21415, 
0x00000000, -10510451, -3900007, -33846624, 65366, 218445, -175935,21567, 
0x00000000, -10503482, -3899182, -33856908, 65760, 218302, -175903,21719, 
0x00000000, -10503392, -3895813, -33855424, 65812, 218065, -175844,21869, 
0x00000000, -10496240, -3894585, -33859064, 65958, 218128, -175811,22022, 
0x00000000, -10503962, -3901960, -33862976, 65594, 218071, -176108,22178, 
0x00000000, -10503136, -3895960, -33858944, 66015, 218289, -175801,22334, 
0x00000000, -10498589, -3892001, -33855696, 65670, 218253, -175762,22488, 
0x00000000, -10504477, -3895252, -33865376, 65907, 218194, -175736,22636, 
0x00000000, -10518547, -3915324, -33788692, 65698, 217336, -175936,22783, 
0x00000000, -10498616, -3927415, -33891896, 65846, 218597, -176079,22931, 
0x00000000, -10469226, -3909554, -34002268, 65921, 219621, -175979,23077, 
0x00000000, -10507960, -3921880, -34049516, 66235, 220091, -176444,23228, 
0x00000000, -10515559, -3948359, -34026820, 66111, 220112, -176187,23376, 
0x00000000, -10511360, -3944902, -34021136, 65867, 219920, -175919,23527, 
0x00000000, -10519219, -3948558, -34023472, 65916, 219922, -176211,23671, 
0x00000000, -10464353, -3927393, -34042016, 66096, 220093, -175995,23817, 
0x00000000, -10444997, -3947900, -34080880, 66143, 220702, -176250,23962, 
0x00000000, -10450603, -3964028, -34118472, 66174, 220975, -176191,24113, 
0x00000000, -10488426, -3911943, -34092804, 66209, 221010, -175975,24358, 
0x00000000, -10479313, -3989291, -34168340, 66363, 221695, -176489,24505, 
0x00000000, -10447590, -3966039, -34151404, 66328, 221812, -176240,24650, 
0x00000000, -10456358, -3952210, -34155432, 66356, 221659, -176038,24794, 
0x00000000, -10478017, -3974089, -34128620, 66126, 221385, -176330,24942, 
0x00000000, -10446819, -4098730, -34135592, 66529, 221476, -177358,25086, 
0x00000000, -10468344, -4062094, -34185104, 66744, 222286, -177048,25234, 
0x00000000, -10464563, -4064681, -34185272, 66742, 222299, -177018,25377, 
0x00000000, -10439308, -4110873, -34129232, 66369, 221802, -177549,25527, 
0x00000000, -10454544, -4070548, -34221416, 67489, 222992, -177133,25672, 
0x00000000, -10435879, -4072536, -34203472, 67794, 223499, -177279,25816, 
0x00000000, -10455552, -4029015, -34236192, 67780, 223866, -176598,25963, 
0x00000000, -10453222, -4030068, -34261904, 67999, 224002, -176614,26107, 
0x00000000, -10455596, -4022718, -34252360, 67811, 224471, -176559,26251, 
0x00000000, -10439665, -4020017, -34233756, 67956, 223848, -176693,26395, 
0x00000000, -10432030, -4006578, -34258000, 68037, 224321, -176489,26543, 
0x00000000, -10429575, -4009062, -34251896, 68018, 224099, -176264,26688, 
0x00000000, -10397362, -4050379, -34201424, 67624, 223815, -176727,26831, 
0x00000000, -10451578, -3996881, -34250608, 67731, 224008, -176156,26984, 
0x00000000, -10431731, -3989423, -34242148, 67914, 224012, -176321,27133, 
0x00000000, -10428153, -3976011, -34235080, 68065, 223925, -176101,27279, 
0x00000000, -10415365, -3978811, -34246340, 67927, 224297, -175939,27424, 
